time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,157.48,163.18,162.12,158.98,349339.89974703
2024-06-11 00:00:00+00:00,144.95,159.67,158.99,149.32,1339784.17466776
2024-06-12 00:00:00+00:00,145.46,161.85,149.32,155.18,934640.79572654
2024-06-13 00:00:00+00:00,145.97,155.18,155.18,147.23,803839.65623014
2024-06-14 00:00:00+00:00,139.56,148.94,147.23,142.98,944501.87423291
2024-06-15 00:00:00+00:00,142.84,145.68,142.98,145.45,285002.23960479
2024-06-16 00:00:00+00:00,142.97,151.26,145.45,151.22,348354.54491309
2024-06-17 00:00:00+00:00,139.77,151.73,151.22,143.25,744074.6002912
2024-06-18 00:00:00+00:00,128.0,143.76,143.24,137.37,1722471.07323113
2024-06-19 00:00:00+00:00,134.41,141.88,137.34,135.59,773852.80461872
2024-06-20 00:00:00+00:00,131.81,141.28,135.59,133.49,1122806.59179073
2024-06-21 00:00:00+00:00,128.61,135.34,133.49,134.54,1144767.97414723
2024-06-22 00:00:00+00:00,132.91,136.64,134.56,133.65,319048.95593813
2024-06-23 00:00:00+00:00,128.0,135.05,133.64,128.59,454001.96818
2024-06-24 00:00:00+00:00,122.18,132.57,128.58,132.26,2215563.26554733
2024-06-25 00:00:00+00:00,131.14,139.89,132.27,136.53,1452524.92996686
2024-06-26 00:00:00+00:00,134.76,140.37,136.54,136.72,627197.54272844
2024-06-27 00:00:00+00:00,135.06,151.15,136.73,149.48,1105081.8834665
2024-06-28 00:00:00+00:00,138.72,150.62,149.48,139.75,1078777.77755784
2024-06-29 00:00:00+00:00,139.45,142.97,139.75,140.0,733598.96608316
2024-06-30 00:00:00+00:00,136.89,147.44,140.0,146.37,758552.42858306
2024-07-01 00:00:00+00:00,145.67,149.11,146.36,146.52,846426.29903135
2024-07-02 00:00:00+00:00,145.98,154.8,146.51,153.81,731013.97753863
2024-07-03 00:00:00+00:00,138.91,154.26,153.81,140.69,1407380.62455737
2024-07-04 00:00:00+00:00,127.14,142.61,140.69,127.83,1284185.6425214
2024-07-05 00:00:00+00:00,121.01,136.45,127.83,134.31,1798686.89675642
2024-07-06 00:00:00+00:00,132.36,144.31,134.31,143.07,691487.77602451
2024-07-07 00:00:00+00:00,131.17,143.37,143.05,131.61,661297.91052354
2024-07-08 00:00:00+00:00,127.75,141.93,131.59,139.77,1308319.16929293
2024-07-09 00:00:00+00:00,136.44,144.28,139.78,141.44,827564.78105877
2024-07-10 00:00:00+00:00,138.58,146.31,141.45,141.99,636533.58943251
2024-07-11 00:00:00+00:00,135.68,146.0,141.98,135.7,848475.59615245
2024-07-12 00:00:00+00:00,133.91,140.63,135.7,139.55,732342.16368954
2024-07-13 00:00:00+00:00,137.99,143.64,139.55,141.93,392576.20808125
2024-07-14 00:00:00+00:00,141.92,148.6,141.92,147.69,683228.5697022
2024-07-15 00:00:00+00:00,147.07,160.13,147.7,159.55,1003776.19544639
2024-07-16 00:00:00+00:00,152.61,162.62,159.5,160.69,1049712.20926574
2024-07-17 00:00:00+00:00,154.5,163.84,160.69,155.51,828073.52716048
2024-07-18 00:00:00+00:00,155.18,161.63,155.51,159.21,583461.31153311
2024-07-19 00:00:00+00:00,156.16,172.57,159.19,169.21,1367806.12189851
2024-07-20 00:00:00+00:00,167.27,175.0,169.21,173.68,574365.13980998
2024-07-21 00:00:00+00:00,170.38,185.0,173.68,184.51,870596.64431196
2024-07-22 00:00:00+00:00,176.75,184.99,184.52,178.98,693819.15970186
2024-07-23 00:00:00+00:00,170.2,180.67,178.95,173.03,774289.44240746
2024-07-24 00:00:00+00:00,170.94,182.5,173.05,178.0,776752.33415245
2024-07-25 00:00:00+00:00,165.36,179.81,178.03,171.82,1295552.43400642
2024-07-26 00:00:00+00:00,171.67,183.68,171.81,183.06,954194.07033685
2024-07-27 00:00:00+00:00,178.06,188.31,183.08,183.56,1037089.56328282
2024-07-28 00:00:00+00:00,180.99,186.67,183.56,184.9,520879.17672757
2024-07-29 00:00:00+00:00,181.57,193.89,184.91,182.52,1233136.27729287
2024-07-30 00:00:00+00:00,175.35,184.72,182.52,179.11,1068417.23222558
2024-07-31 00:00:00+00:00,171.53,184.43,179.11,171.62,1155415.59061793
2024-08-01 00:00:00+00:00,157.67,172.93,171.61,167.22,1954392.4497109
2024-08-02 00:00:00+00:00,149.78,169.34,167.23,152.57,1848547.66021147
2024-08-03 00:00:00+00:00,139.73,153.82,152.57,142.45,1324991.40139784
2024-08-04 00:00:00+00:00,131.11,145.99,142.44,138.25,1803319.51615065
2024-08-05 00:00:00+00:00,110.0,139.27,138.26,129.81,6250882.90417749
2024-08-06 00:00:00+00:00,129.37,149.61,129.84,144.46,2167568.74424249
2024-08-07 00:00:00+00:00,142.32,155.06,144.46,144.77,2301753.74673278
2024-08-08 00:00:00+00:00,141.43,163.7,144.78,163.18,2439675.60795652
2024-08-09 00:00:00+00:00,150.79,163.58,163.16,156.32,1610185.64781277
2024-08-10 00:00:00+00:00,152.54,158.83,156.35,154.05,539036.61658277
2024-08-11 00:00:00+00:00,141.2,158.0,154.06,141.57,884922.06462752
2024-08-12 00:00:00+00:00,141.21,151.19,141.56,146.31,1116100.66550871
2024-08-13 00:00:00+00:00,142.89,149.98,146.31,146.7,631243.28252229
2024-08-14 00:00:00+00:00,142.34,152.21,146.71,143.73,1003917.85994446
2024-08-15 00:00:00+00:00,137.8,147.61,143.74,142.57,1234922.20942239
2024-08-16 00:00:00+00:00,136.02,144.9,142.57,139.08,923991.7751813
2024-08-17 00:00:00+00:00,137.66,142.0,139.07,141.96,308877.59884979
2024-08-18 00:00:00+00:00,140.55,147.15,141.96,142.45,1005877.45778013
2024-08-19 00:00:00+00:00,140.38,146.25,142.41,144.31,572488.18229455
2024-08-20 00:00:00+00:00,141.01,148.9,144.3,142.28,821851.75093475
2024-08-21 00:00:00+00:00,138.81,144.41,142.27,142.82,819223.4717137
2024-08-22 00:00:00+00:00,140.64,144.9,142.83,143.25,462438.41712056
2024-08-23 00:00:00+00:00,142.75,154.16,143.24,153.39,966097.62384212
2024-08-24 00:00:00+00:00,152.03,162.36,153.38,160.72,1010422.79375914
2024-08-25 00:00:00+00:00,155.27,162.01,160.71,158.99,504919.94260899
2024-08-26 00:00:00+00:00,155.63,162.0,158.98,157.12,685292.91704922
2024-08-27 00:00:00+00:00,145.0,159.73,157.12,146.81,935615.99835103
2024-08-28 00:00:00+00:00,140.55,148.89,146.81,143.94,908310.57410162
2024-08-29 00:00:00+00:00,138.1,147.38,143.97,140.04,703731.20186202
2024-08-30 00:00:00+00:00,132.03,141.1,140.04,137.96,804417.63309433
2024-08-31 00:00:00+00:00,134.49,139.22,138.0,135.32,212470.01846291
