time,low,high,open,close,volume
2024-07-10 00:00:00+00:00,0.3739,0.4003,0.3763,0.3751,340686.2
2024-07-11 00:00:00+00:00,0.3502,0.3741,0.3634,0.3551,493426.2
2024-07-12 00:00:00+00:00,0.3497,0.3605,0.3552,0.3605,164067.3
2024-07-13 00:00:00+00:00,0.3601,0.3681,0.3615,0.3656,116742.7
2024-07-14 00:00:00+00:00,0.3625,0.37,0.3681,0.3686,32443.4
2024-07-15 00:00:00+00:00,0.366,0.383,0.3686,0.383,66421.1
2024-07-16 00:00:00+00:00,0.362,0.3846,0.3835,0.3731,328898.7
2024-07-17 00:00:00+00:00,0.3778,0.3939,0.3778,0.3824,86775.8
2024-07-18 00:00:00+00:00,0.3737,0.3961,0.3851,0.3835,138033.2
2024-07-19 00:00:00+00:00,0.3761,0.3944,0.3825,0.3908,95354.4
2024-07-20 00:00:00+00:00,0.3884,0.4217,0.3937,0.4202,693362.1
2024-07-21 00:00:00+00:00,0.3975,0.4216,0.4142,0.4145,143608.9
2024-07-22 00:00:00+00:00,0.3904,0.4156,0.4109,0.3914,58099.2
2024-07-23 00:00:00+00:00,0.3725,0.3995,0.3909,0.375,113909.2
2024-07-24 00:00:00+00:00,0.3697,0.384,0.3756,0.3707,97776.3
2024-07-25 00:00:00+00:00,0.3535,0.367,0.367,0.3623,95208.1
2024-07-26 00:00:00+00:00,0.3621,0.3778,0.3621,0.3778,18896.7
2024-07-27 00:00:00+00:00,0.3737,0.3806,0.3775,0.3801,9982.8
2024-07-28 00:00:00+00:00,0.3697,0.3794,0.3794,0.3701,7192.1
2024-07-29 00:00:00+00:00,0.3682,0.3793,0.3737,0.3718,509369.4
2024-07-30 00:00:00+00:00,0.36,0.3736,0.3716,0.3628,64185.7
2024-07-31 00:00:00+00:00,0.3539,0.369,0.3612,0.3561,208531.2
2024-08-01 00:00:00+00:00,0.3312,0.3577,0.3577,0.3495,185096.8
2024-08-02 00:00:00+00:00,0.3267,0.3543,0.3498,0.3282,230671.3
2024-08-03 00:00:00+00:00,0.3196,0.3322,0.3305,0.32,48026.0
2024-08-04 00:00:00+00:00,0.297,0.3241,0.3205,0.2999,67768.5
2024-08-05 00:00:00+00:00,0.2593,0.3028,0.3009,0.2855,738468.7
2024-08-06 00:00:00+00:00,0.2875,0.2981,0.2889,0.2981,6697.6
2024-08-07 00:00:00+00:00,0.2884,0.301,0.2943,0.2884,6421.7
2024-08-08 00:00:00+00:00,0.2848,0.3164,0.2874,0.3097,22763.1
2024-08-09 00:00:00+00:00,0.3096,0.3172,0.3097,0.3147,12338.5
2024-08-10 00:00:00+00:00,0.3112,0.3375,0.3128,0.3335,73287.0
2024-08-11 00:00:00+00:00,0.3356,0.402,0.3374,0.3454,950819.3
2024-08-12 00:00:00+00:00,0.335,0.3535,0.3421,0.3419,70723.3
2024-08-13 00:00:00+00:00,0.3343,0.3477,0.3472,0.3432,132038.0
2024-08-14 00:00:00+00:00,0.3276,0.3431,0.3431,0.3299,97821.4
2024-08-15 00:00:00+00:00,0.3186,0.3343,0.3314,0.3225,19422.6
2024-08-16 00:00:00+00:00,0.3054,0.3217,0.3212,0.3138,48490.1
2024-08-17 00:00:00+00:00,0.3115,0.3208,0.3131,0.3185,18905.2
2024-08-18 00:00:00+00:00,0.312,0.3233,0.3131,0.3156,40173.2
2024-08-19 00:00:00+00:00,0.3121,0.3209,0.3153,0.3194,41261.8
2024-08-20 00:00:00+00:00,0.3139,0.3259,0.3211,0.3148,44856.6
2024-08-21 00:00:00+00:00,0.3088,0.3202,0.3136,0.3196,82499.0
2024-08-22 00:00:00+00:00,0.3191,0.3289,0.3212,0.3246,66097.1
2024-08-23 00:00:00+00:00,0.3241,0.3418,0.3241,0.3406,166963.7
2024-08-24 00:00:00+00:00,0.3386,0.3657,0.3386,0.3501,142060.3
2024-08-25 00:00:00+00:00,0.3301,0.3511,0.3455,0.3364,119668.6
2024-08-26 00:00:00+00:00,0.3175,0.3376,0.3333,0.3191,156957.9
2024-08-27 00:00:00+00:00,0.2959,0.3222,0.3193,0.2978,105423.0
2024-08-28 00:00:00+00:00,0.2901,0.3061,0.2978,0.2946,89312.7
2024-08-29 00:00:00+00:00,0.2881,0.3042,0.2889,0.293,116175.8
2024-08-30 00:00:00+00:00,0.2842,0.296,0.2929,0.2935,87681.4
2024-08-31 00:00:00+00:00,0.2863,0.295,0.2935,0.2867,18229.5
2024-09-01 00:00:00+00:00,0.2745,0.2875,0.2865,0.2772,16106.2
2024-09-02 00:00:00+00:00,0.2759,0.2847,0.2765,0.2847,702.7
2024-09-03 00:00:00+00:00,0.2767,0.2908,0.2848,0.2767,10452.0
2024-09-04 00:00:00+00:00,0.2646,0.2808,0.2727,0.2779,32879.7
2024-09-05 00:00:00+00:00,0.2701,0.279,0.2779,0.272,21004.5
2024-09-06 00:00:00+00:00,0.2566,0.2737,0.2721,0.2634,6216.7
2024-09-07 00:00:00+00:00,0.2623,0.2711,0.2623,0.2688,20620.8
2024-09-08 00:00:00+00:00,0.2688,0.2768,0.2727,0.2747,706.8
2024-09-09 00:00:00+00:00,0.273,0.2813,0.2756,0.2813,10410.8
2024-09-10 00:00:00+00:00,0.2794,0.2882,0.2803,0.2865,8752.8
2024-09-11 00:00:00+00:00,0.2739,0.2856,0.2856,0.2768,9916.7
2024-09-12 00:00:00+00:00,0.2777,0.2928,0.2777,0.2882,217196.0
2024-09-13 00:00:00+00:00,0.2848,0.2978,0.2886,0.2963,88008.2
2024-09-14 00:00:00+00:00,0.2886,0.2932,0.2932,0.2918,11275.8
2024-09-15 00:00:00+00:00,0.2901,0.319,0.2901,0.3014,104055.0
2024-09-16 00:00:00+00:00,0.2876,0.3019,0.298,0.2895,21139.1
2024-09-17 00:00:00+00:00,0.2863,0.3085,0.2889,0.3085,30125.0
2024-09-18 00:00:00+00:00,0.297,0.3208,0.3089,0.3205,66240.1
2024-09-19 00:00:00+00:00,0.3174,0.3333,0.32,0.327,7617.0
