time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,1.1,1.172,1.167,1.118,951149.25
2024-06-11 00:00:00+00:00,1.031,1.123,1.118,1.035,1687361.05
2024-06-12 00:00:00+00:00,0.99,1.107,1.036,1.071,1613923.64
2024-06-13 00:00:00+00:00,0.975,1.072,1.07,0.987,610624.26
2024-06-14 00:00:00+00:00,0.9,1.009,0.987,0.943,768316.87
2024-06-15 00:00:00+00:00,0.923,0.976,0.943,0.935,385792.42
2024-06-16 00:00:00+00:00,0.911,0.949,0.932,0.934,859165.37
2024-06-17 00:00:00+00:00,0.788,0.942,0.934,0.794,1970892.43
2024-06-18 00:00:00+00:00,0.665,0.802,0.796,0.736,2138508.56
2024-06-19 00:00:00+00:00,0.699,0.755,0.735,0.732,2503642.9
2024-06-20 00:00:00+00:00,0.695,0.757,0.73,0.723,1259557.93
2024-06-21 00:00:00+00:00,0.703,0.742,0.723,0.719,2773178.75
2024-06-22 00:00:00+00:00,0.704,0.737,0.717,0.72,336465.21
2024-06-23 00:00:00+00:00,0.686,0.749,0.717,0.695,338330.38
2024-06-24 00:00:00+00:00,0.633,0.733,0.696,0.73,826296.17
2024-06-25 00:00:00+00:00,0.711,0.762,0.729,0.723,609487.74
2024-06-26 00:00:00+00:00,0.68,0.735,0.722,0.701,767776.8
2024-06-27 00:00:00+00:00,0.681,0.725,0.7,0.709,741966.74
2024-06-28 00:00:00+00:00,0.655,0.73,0.706,0.658,1774329.05
2024-06-29 00:00:00+00:00,0.647,0.684,0.655,0.652,1237949.15
2024-06-30 00:00:00+00:00,0.639,0.691,0.651,0.688,321506.89
2024-07-01 00:00:00+00:00,0.648,0.702,0.688,0.652,478617.45
2024-07-02 00:00:00+00:00,0.61,0.651,0.651,0.639,2024866.98
2024-07-03 00:00:00+00:00,0.607,0.651,0.639,0.621,5324872.39
2024-07-04 00:00:00+00:00,0.526,0.623,0.621,0.533,1237455.94
2024-07-05 00:00:00+00:00,0.45,0.533,0.532,0.513,6213578.42
2024-07-06 00:00:00+00:00,0.504,0.585,0.513,0.573,792415.24
2024-07-07 00:00:00+00:00,0.534,0.572,0.571,0.536,697520.96
2024-07-08 00:00:00+00:00,0.514,0.617,0.537,0.606,1579316.26
2024-07-09 00:00:00+00:00,0.582,0.615,0.603,0.602,1371722.74
2024-07-10 00:00:00+00:00,0.579,0.609,0.601,0.596,715412.97
2024-07-11 00:00:00+00:00,0.558,0.607,0.595,0.56,683736.95
2024-07-12 00:00:00+00:00,0.54,0.572,0.561,0.556,479871.19
2024-07-13 00:00:00+00:00,0.552,0.576,0.557,0.562,393795.99
2024-07-14 00:00:00+00:00,0.549,0.596,0.562,0.592,495484.99
2024-07-15 00:00:00+00:00,0.585,0.627,0.591,0.617,1904407.63
2024-07-16 00:00:00+00:00,0.574,0.633,0.617,0.619,3328679.31
2024-07-17 00:00:00+00:00,0.588,0.662,0.618,0.591,1260701.03
2024-07-18 00:00:00+00:00,0.559,0.611,0.591,0.574,808568.04
2024-07-19 00:00:00+00:00,0.551,0.594,0.572,0.586,734930.87
2024-07-20 00:00:00+00:00,0.576,0.612,0.588,0.608,488367.95
2024-07-21 00:00:00+00:00,0.562,0.615,0.607,0.613,399731.59
2024-07-22 00:00:00+00:00,0.57,0.624,0.614,0.577,486979.61
2024-07-23 00:00:00+00:00,0.571,0.652,0.576,0.575,1459630.21
2024-07-24 00:00:00+00:00,0.533,0.584,0.574,0.537,957529.42
2024-07-25 00:00:00+00:00,0.495,0.538,0.537,0.512,1641854.31
2024-07-26 00:00:00+00:00,0.508,0.54,0.51,0.538,902443.29
