time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,8.828,9.345,9.062,8.977,492537.14
2024-06-11 00:00:00+00:00,8.317,9.147,8.974,8.429,771682.29
2024-06-12 00:00:00+00:00,8.13,9.059,8.429,8.713,1111768.51
2024-06-13 00:00:00+00:00,7.66,8.769,8.713,7.855,1207523.47
2024-06-14 00:00:00+00:00,7.31,8.052,7.855,7.638,1237629.08
2024-06-15 00:00:00+00:00,7.588,7.866,7.644,7.659,332391.06
2024-06-16 00:00:00+00:00,7.49,8.214,7.655,8.199,621160.06
2024-06-17 00:00:00+00:00,7.064,8.331,8.206,7.246,2179034.0
2024-06-18 00:00:00+00:00,6.053,7.282,7.246,6.403,1758545.86
2024-06-19 00:00:00+00:00,6.293,6.649,6.401,6.526,1093645.2
2024-06-20 00:00:00+00:00,6.236,6.813,6.523,6.366,827115.92
2024-06-21 00:00:00+00:00,6.255,6.63,6.369,6.41,922711.94
2024-06-22 00:00:00+00:00,6.209,6.406,6.406,6.326,403529.13
2024-06-23 00:00:00+00:00,6.047,6.548,6.328,6.086,460024.67
2024-06-24 00:00:00+00:00,5.723,6.749,6.087,6.714,1449102.54
2024-06-25 00:00:00+00:00,6.672,7.107,6.712,6.797,917598.17
2024-06-26 00:00:00+00:00,6.313,6.87,6.797,6.421,864657.12
2024-06-27 00:00:00+00:00,6.223,6.53,6.422,6.307,483368.53
2024-06-28 00:00:00+00:00,6.02,6.488,6.306,6.057,600400.51
2024-06-29 00:00:00+00:00,6.0,6.298,6.055,6.039,208804.71
2024-06-30 00:00:00+00:00,5.976,6.28,6.037,6.189,333209.77
2024-07-01 00:00:00+00:00,5.555,6.316,6.195,5.804,1328676.9
2024-07-02 00:00:00+00:00,5.596,5.975,5.805,5.821,919553.84
2024-07-03 00:00:00+00:00,5.252,5.941,5.821,5.301,1160025.47
2024-07-04 00:00:00+00:00,4.715,5.328,5.303,4.899,1549187.68
2024-07-05 00:00:00+00:00,4.144,5.062,4.91,4.814,1931928.66
2024-07-06 00:00:00+00:00,4.763,5.63,4.817,5.599,1396880.98
2024-07-07 00:00:00+00:00,5.059,5.59,5.586,5.082,973968.13
2024-07-08 00:00:00+00:00,4.889,6.286,5.09,6.049,2393973.61
2024-07-09 00:00:00+00:00,5.97,7.364,6.049,7.253,2862281.67
2024-07-10 00:00:00+00:00,6.574,7.436,7.257,6.83,1997120.86
2024-07-11 00:00:00+00:00,6.291,7.232,6.85,6.439,1778485.4
2024-07-12 00:00:00+00:00,6.237,6.734,6.439,6.367,1131996.73
2024-07-13 00:00:00+00:00,6.026,6.483,6.375,6.091,1033978.8
2024-07-14 00:00:00+00:00,6.079,6.412,6.094,6.328,644323.91
2024-07-15 00:00:00+00:00,6.265,6.995,6.319,6.847,1606413.35
2024-07-16 00:00:00+00:00,6.303,6.886,6.849,6.62,1252134.33
2024-07-17 00:00:00+00:00,6.266,6.762,6.62,6.28,996739.6
2024-07-18 00:00:00+00:00,5.985,6.517,6.283,6.191,628036.98
2024-07-19 00:00:00+00:00,6.038,6.469,6.185,6.413,864039.2
2024-07-20 00:00:00+00:00,6.313,6.808,6.418,6.538,874247.88
2024-07-21 00:00:00+00:00,6.294,7.399,6.538,7.282,952048.81
2024-07-22 00:00:00+00:00,7.073,7.667,7.298,7.233,1871501.68
2024-07-23 00:00:00+00:00,6.354,7.321,7.226,6.413,889888.9
2024-07-24 00:00:00+00:00,5.944,6.516,6.412,5.982,662258.05
