time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,28.94,33.77,29.33,32.42,5606.336
2024-06-11 00:00:00+00:00,28.04,32.51,32.42,28.9,6983.701
2024-06-12 00:00:00+00:00,28.15,29.79,28.63,28.75,1515.116
2024-06-13 00:00:00+00:00,26.1,29.18,28.77,26.44,3196.408
2024-06-14 00:00:00+00:00,26.1,27.1,26.47,26.82,2504.169
2024-06-15 00:00:00+00:00,26.2,30.51,26.75,26.73,3938.042
2024-06-16 00:00:00+00:00,26.19,27.05,26.63,26.96,1375.972
2024-06-17 00:00:00+00:00,25.65,28.51,27.04,26.61,4496.426
2024-06-18 00:00:00+00:00,24.84,26.76,26.44,25.73,2021.404
2024-06-19 00:00:00+00:00,24.0,26.0,25.72,24.39,2310.817
2024-06-20 00:00:00+00:00,24.19,25.36,24.39,24.23,1023.696
2024-06-21 00:00:00+00:00,22.22,24.64,24.45,22.82,4165.328
2024-06-22 00:00:00+00:00,20.66,22.99,22.82,22.15,3160.035
2024-06-23 00:00:00+00:00,21.41,22.27,22.02,22.0,2648.832
2024-06-24 00:00:00+00:00,20.58,22.27,22.02,21.88,4471.43
2024-06-25 00:00:00+00:00,21.7,22.99,21.87,22.01,2149.47
2024-06-26 00:00:00+00:00,20.18,22.21,22.05,21.71,2394.553
2024-06-27 00:00:00+00:00,21.21,22.45,21.73,21.7,1457.093
2024-06-28 00:00:00+00:00,21.45,22.14,21.75,21.58,1125.377
2024-06-29 00:00:00+00:00,20.48,21.66,21.66,20.94,1390.054
2024-06-30 00:00:00+00:00,20.81,23.85,20.81,23.75,5792.555
2024-07-01 00:00:00+00:00,21.14,26.93,23.64,22.08,13820.737
2024-07-02 00:00:00+00:00,21.97,22.71,21.99,22.11,1827.637
2024-07-03 00:00:00+00:00,21.02,22.43,22.08,21.29,2169.944
2024-07-04 00:00:00+00:00,20.18,21.29,21.27,20.37,3062.16
2024-07-05 00:00:00+00:00,17.55,20.36,20.3,19.54,5990.003
2024-07-06 00:00:00+00:00,19.33,19.97,19.71,19.89,796.627
2024-07-07 00:00:00+00:00,19.74,21.53,19.81,19.96,2765.581
2024-07-08 00:00:00+00:00,18.98,19.86,19.86,19.36,1587.876
2024-07-09 00:00:00+00:00,19.05,19.78,19.36,19.37,866.872
2024-07-10 00:00:00+00:00,19.27,19.58,19.36,19.44,821.815
2024-07-11 00:00:00+00:00,19.15,20.14,19.45,19.89,2380.998
2024-07-12 00:00:00+00:00,19.39,20.51,20.08,20.14,2283.16
2024-07-13 00:00:00+00:00,19.98,21.42,19.98,21.21,2384.489
2024-07-14 00:00:00+00:00,20.55,21.26,21.14,20.95,623.426
