time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,0.949,1.115,1.105,0.956,2586063.16
2024-06-11 00:00:00+00:00,0.815,0.956,0.956,0.844,3613684.14
2024-06-12 00:00:00+00:00,0.808,0.921,0.842,0.861,1771399.79
2024-06-13 00:00:00+00:00,0.791,0.858,0.856,0.811,1254973.22
2024-06-14 00:00:00+00:00,0.769,0.87,0.813,0.808,1683564.03
2024-06-15 00:00:00+00:00,0.798,0.832,0.808,0.8,690013.46
2024-06-16 00:00:00+00:00,0.785,0.85,0.796,0.828,723433.75
2024-06-17 00:00:00+00:00,0.717,0.836,0.826,0.723,1234826.15
2024-06-18 00:00:00+00:00,0.604,0.723,0.721,0.639,1924484.09
2024-06-19 00:00:00+00:00,0.608,0.661,0.635,0.634,2211476.08
2024-06-20 00:00:00+00:00,0.605,0.669,0.634,0.616,2370233.96
2024-06-21 00:00:00+00:00,0.598,0.646,0.616,0.616,1312067.47
2024-06-22 00:00:00+00:00,0.603,0.644,0.616,0.628,274267.63
2024-06-23 00:00:00+00:00,0.575,0.653,0.625,0.578,607137.04
2024-06-24 00:00:00+00:00,0.534,0.609,0.579,0.605,1206354.96
2024-06-25 00:00:00+00:00,0.597,0.628,0.604,0.615,628036.2
2024-06-26 00:00:00+00:00,0.587,0.627,0.615,0.596,609561.09
2024-06-27 00:00:00+00:00,0.578,0.679,0.594,0.632,1286987.77
2024-06-28 00:00:00+00:00,0.588,0.644,0.631,0.591,517505.33
2024-06-29 00:00:00+00:00,0.577,0.61,0.592,0.581,200938.75
2024-06-30 00:00:00+00:00,0.551,0.599,0.581,0.595,1196259.2
2024-07-01 00:00:00+00:00,0.575,0.616,0.593,0.58,790614.55
2024-07-02 00:00:00+00:00,0.563,0.597,0.579,0.571,765366.8
2024-07-03 00:00:00+00:00,0.503,0.584,0.575,0.505,817125.82
2024-07-04 00:00:00+00:00,0.411,0.511,0.504,0.414,1689971.01
2024-07-05 00:00:00+00:00,0.357,0.415,0.415,0.364,1850297.91
2024-07-06 00:00:00+00:00,0.362,0.422,0.364,0.413,3561827.83
2024-07-07 00:00:00+00:00,0.398,0.47,0.412,0.415,2652492.38
2024-07-08 00:00:00+00:00,0.393,0.482,0.417,0.437,1648911.92
2024-07-09 00:00:00+00:00,0.431,0.463,0.436,0.443,1562128.32
2024-07-10 00:00:00+00:00,0.43,0.46,0.442,0.452,976455.49
2024-07-11 00:00:00+00:00,0.417,0.47,0.451,0.422,816416.46
2024-07-12 00:00:00+00:00,0.422,0.494,0.424,0.459,927207.98
2024-07-13 00:00:00+00:00,0.437,0.465,0.458,0.447,376551.34
2024-07-14 00:00:00+00:00,0.441,0.473,0.446,0.467,1490427.89
2024-07-15 00:00:00+00:00,0.466,0.528,0.47,0.524,1498741.11
2024-07-16 00:00:00+00:00,0.495,0.552,0.524,0.536,875956.47
2024-07-17 00:00:00+00:00,0.532,0.57,0.537,0.558,1021141.7
2024-07-18 00:00:00+00:00,0.522,0.564,0.559,0.54,886232.77
2024-07-19 00:00:00+00:00,0.524,0.56,0.542,0.56,423532.61
2024-07-20 00:00:00+00:00,0.548,0.612,0.559,0.57,569241.73
2024-07-21 00:00:00+00:00,0.524,0.578,0.57,0.572,490306.62
2024-07-22 00:00:00+00:00,0.503,0.585,0.573,0.508,982191.08
2024-07-23 00:00:00+00:00,0.48,0.527,0.508,0.488,629121.89
2024-07-24 00:00:00+00:00,0.479,0.511,0.487,0.484,445716.51
2024-07-25 00:00:00+00:00,0.441,0.488,0.484,0.46,1017027.14
2024-07-26 00:00:00+00:00,0.459,0.506,0.46,0.501,343512.97
2024-07-27 00:00:00+00:00,0.477,0.514,0.499,0.498,616765.05
2024-07-28 00:00:00+00:00,0.469,0.501,0.496,0.478,171592.14
2024-07-29 00:00:00+00:00,0.477,0.527,0.478,0.498,900893.27
2024-07-30 00:00:00+00:00,0.492,0.533,0.498,0.504,1263894.77
2024-07-31 00:00:00+00:00,0.481,0.536,0.504,0.483,869060.6
2024-08-01 00:00:00+00:00,0.406,0.489,0.482,0.441,1710177.21
2024-08-02 00:00:00+00:00,0.401,0.463,0.441,0.407,794103.29
2024-08-03 00:00:00+00:00,0.365,0.419,0.408,0.373,936403.32
2024-08-04 00:00:00+00:00,0.333,0.387,0.373,0.348,933972.34
2024-08-05 00:00:00+00:00,0.248,0.352,0.347,0.275,4823772.45
2024-08-06 00:00:00+00:00,0.276,0.357,0.276,0.331,3208849.65
2024-08-07 00:00:00+00:00,0.315,0.343,0.332,0.32,1274435.47
2024-08-08 00:00:00+00:00,0.309,0.367,0.32,0.362,1422022.1
2024-08-09 00:00:00+00:00,0.346,0.367,0.361,0.358,493447.58
2024-08-10 00:00:00+00:00,0.349,0.368,0.357,0.362,382717.86
2024-08-11 00:00:00+00:00,0.323,0.365,0.362,0.326,742530.59
2024-08-12 00:00:00+00:00,0.326,0.381,0.326,0.371,1193718.36
2024-08-13 00:00:00+00:00,0.349,0.373,0.368,0.366,520279.93
2024-08-14 00:00:00+00:00,0.335,0.366,0.364,0.346,878992.58
2024-08-15 00:00:00+00:00,0.336,0.384,0.345,0.353,1171226.78
2024-08-16 00:00:00+00:00,0.325,0.355,0.348,0.338,541359.49
2024-08-17 00:00:00+00:00,0.337,0.375,0.338,0.374,1545310.52
2024-08-18 00:00:00+00:00,0.361,0.389,0.372,0.362,631794.72
2024-08-19 00:00:00+00:00,0.354,0.378,0.363,0.37,511573.89
2024-08-20 00:00:00+00:00,0.36,0.386,0.366,0.38,555405.36
2024-08-21 00:00:00+00:00,0.363,0.392,0.382,0.386,516632.83
2024-08-22 00:00:00+00:00,0.376,0.388,0.385,0.385,236755.97
2024-08-23 00:00:00+00:00,0.384,0.419,0.385,0.416,553176.74
2024-08-24 00:00:00+00:00,0.416,0.445,0.417,0.432,692051.34
2024-08-25 00:00:00+00:00,0.401,0.437,0.432,0.409,326014.45
2024-08-26 00:00:00+00:00,0.37,0.413,0.41,0.37,408602.58
2024-08-27 00:00:00+00:00,0.334,0.384,0.37,0.339,1083115.68
2024-08-28 00:00:00+00:00,0.309,0.347,0.337,0.32,871532.65
2024-08-29 00:00:00+00:00,0.309,0.336,0.321,0.315,471279.92
2024-08-30 00:00:00+00:00,0.291,0.321,0.314,0.314,427113.31
2024-08-31 00:00:00+00:00,0.305,0.32,0.314,0.309,152130.58
2024-09-01 00:00:00+00:00,0.284,0.315,0.307,0.289,226859.25
2024-09-02 00:00:00+00:00,0.287,0.318,0.288,0.314,145593.99
2024-09-03 00:00:00+00:00,0.304,0.325,0.313,0.305,168493.34
2024-09-04 00:00:00+00:00,0.288,0.324,0.304,0.317,757555.99
2024-09-05 00:00:00+00:00,0.308,0.328,0.317,0.315,368668.75
2024-09-06 00:00:00+00:00,0.292,0.331,0.315,0.305,358156.16
2024-09-07 00:00:00+00:00,0.304,0.329,0.305,0.314,206849.69
2024-09-08 00:00:00+00:00,0.314,0.347,0.314,0.336,583410.73
2024-09-09 00:00:00+00:00,0.326,0.347,0.338,0.339,414919.57
2024-09-10 00:00:00+00:00,0.33,0.346,0.338,0.339,216826.83
2024-09-11 00:00:00+00:00,0.305,0.338,0.338,0.317,617509.09
2024-09-12 00:00:00+00:00,0.318,0.347,0.318,0.344,918107.48
2024-09-13 00:00:00+00:00,0.338,0.361,0.346,0.355,899104.42
2024-09-14 00:00:00+00:00,0.346,0.367,0.356,0.347,85118.6
2024-09-15 00:00:00+00:00,0.326,0.358,0.346,0.331,179523.91
2024-09-16 00:00:00+00:00,0.312,0.339,0.328,0.316,327445.74
2024-09-17 00:00:00+00:00,0.312,0.365,0.317,0.36,680262.65
2024-09-18 00:00:00+00:00,0.34,0.375,0.361,0.375,626295.94
2024-09-19 00:00:00+00:00,0.364,0.393,0.375,0.372,709100.04
2024-09-20 00:00:00+00:00,0.363,0.395,0.372,0.39,705296.99
2024-09-21 00:00:00+00:00,0.376,0.404,0.386,0.403,240594.59
2024-09-22 00:00:00+00:00,0.368,0.403,0.4,0.385,237571.05
2024-09-23 00:00:00+00:00,0.375,0.403,0.385,0.394,430209.63
2024-09-24 00:00:00+00:00,0.383,0.414,0.394,0.404,672820.95
2024-09-25 00:00:00+00:00,0.386,0.42,0.407,0.388,449067.04
2024-09-26 00:00:00+00:00,0.382,0.431,0.39,0.416,518156.8
2024-09-27 00:00:00+00:00,0.419,0.442,0.42,0.434,1458147.55
2024-09-28 00:00:00+00:00,0.406,0.449,0.437,0.414,745551.27
2024-09-29 00:00:00+00:00,0.396,0.439,0.414,0.431,315240.79
2024-09-30 00:00:00+00:00,0.398,0.442,0.432,0.4,390824.69
2024-10-01 00:00:00+00:00,0.341,0.421,0.405,0.354,837317.57
2024-10-02 00:00:00+00:00,0.351,0.392,0.354,0.363,1158308.17
2024-10-03 00:00:00+00:00,0.322,0.373,0.365,0.332,1760802.22
2024-10-04 00:00:00+00:00,0.329,0.365,0.334,0.362,950677.17
2024-10-05 00:00:00+00:00,0.341,0.368,0.361,0.35,425845.53
2024-10-06 00:00:00+00:00,0.345,0.359,0.349,0.357,109175.66
2024-10-07 00:00:00+00:00,0.346,0.371,0.359,0.351,227684.22
2024-10-08 00:00:00+00:00,0.314,0.355,0.35,0.327,665800.87
2024-10-09 00:00:00+00:00,0.306,0.335,0.328,0.31,236043.17
2024-10-10 00:00:00+00:00,0.295,0.317,0.307,0.312,546521.08
2024-10-11 00:00:00+00:00,0.313,0.332,0.313,0.328,287688.4
2024-10-12 00:00:00+00:00,0.326,0.353,0.329,0.341,292201.55
2024-10-13 00:00:00+00:00,0.323,0.346,0.34,0.342,717626.92
