time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,90.48,96.4,96.14,92.0,16004.201
2024-06-11 00:00:00+00:00,85.0,92.6,92.01,89.67,30084.26
2024-06-12 00:00:00+00:00,87.2,108.99,89.63,100.94,89573.962
2024-06-13 00:00:00+00:00,93.5,103.14,100.93,96.23,52365.389
2024-06-14 00:00:00+00:00,88.84,98.67,96.58,95.6,30391.512
2024-06-15 00:00:00+00:00,93.98,100.91,95.63,99.94,50670.988
2024-06-16 00:00:00+00:00,97.4,106.7,99.89,106.29,35506.753
2024-06-17 00:00:00+00:00,95.34,108.0,106.24,99.94,90059.797
2024-06-18 00:00:00+00:00,82.28,101.22,100.25,85.4,51085.242
2024-06-19 00:00:00+00:00,83.7,92.43,85.28,86.97,67928.611
2024-06-20 00:00:00+00:00,86.2,94.79,86.92,93.12,28525.106
2024-06-21 00:00:00+00:00,91.8,121.39,93.14,99.77,205155.029
2024-06-22 00:00:00+00:00,95.1,109.88,99.75,98.12,134579.587
2024-06-23 00:00:00+00:00,96.2,102.6,98.22,99.35,78188.762
2024-06-24 00:00:00+00:00,92.24,105.5,99.37,101.99,107392.982
2024-06-25 00:00:00+00:00,98.33,103.64,102.03,102.38,50091.194
2024-06-26 00:00:00+00:00,98.67,104.4,102.41,103.75,63376.565
2024-06-27 00:00:00+00:00,100.98,104.94,103.76,103.74,44984.794
2024-06-28 00:00:00+00:00,97.0,110.26,103.6,97.65,59714.695
2024-06-29 00:00:00+00:00,96.14,100.63,97.73,96.88,27679.861
2024-06-30 00:00:00+00:00,94.65,98.41,96.89,97.57,34821.477
2024-07-01 00:00:00+00:00,93.0,98.72,97.5,93.84,42632.486
2024-07-02 00:00:00+00:00,92.12,95.89,93.78,94.09,40173.488
2024-07-03 00:00:00+00:00,87.05,94.97,94.14,89.85,50439.231
2024-07-04 00:00:00+00:00,81.13,90.11,89.9,82.17,80158.804
2024-07-05 00:00:00+00:00,69.73,82.25,82.0,77.72,161057.345
2024-07-06 00:00:00+00:00,77.06,87.33,77.8,86.74,41226.201
