time,low,high,open,close,volume
2025-01-21 00:00:00+00:00,35.0,49.26,39.8,43.84,4166523.139
2025-01-22 00:00:00+00:00,35.91,44.53,43.84,36.82,4519636.65
2025-01-23 00:00:00+00:00,34.11,39.74,36.81,34.71,5296833.382
2025-01-24 00:00:00+00:00,29.05,35.44,34.68,30.19,4111498.858
2025-01-25 00:00:00+00:00,25.71,30.64,30.19,28.88,6745671.854
2025-01-26 00:00:00+00:00,27.07,32.57,28.87,27.38,5048242.661
2025-01-27 00:00:00+00:00,24.61,28.22,27.38,28.0,4684766.556
2025-01-28 00:00:00+00:00,26.25,30.47,28.02,27.34,5038413.066
2025-01-29 00:00:00+00:00,26.26,28.71,27.33,27.26,3113999.73
2025-01-30 00:00:00+00:00,25.78,28.32,27.25,26.06,2134630.646
2025-01-31 00:00:00+00:00,23.65,26.64,26.07,24.13,2281457.597
2025-02-01 00:00:00+00:00,18.58,25.02,24.14,19.71,4519805.878
2025-02-02 00:00:00+00:00,19.37,22.63,19.7,21.01,6417879.461
2025-02-03 00:00:00+00:00,15.86,21.22,21.02,19.68,7134079.289
2025-02-04 00:00:00+00:00,16.33,19.81,19.67,17.22,4317245.939
2025-02-05 00:00:00+00:00,17.2,20.71,17.2,18.17,3671403.439
2025-02-06 00:00:00+00:00,16.83,19.53,18.16,17.09,2477655.108
2025-02-07 00:00:00+00:00,16.14,18.26,17.1,16.58,1928734.655
2025-02-08 00:00:00+00:00,16.21,17.47,16.57,17.26,1152910.217
2025-02-09 00:00:00+00:00,15.32,17.94,17.25,15.89,1185201.326
2025-02-10 00:00:00+00:00,14.29,16.55,15.88,15.88,1561745.147
2025-02-11 00:00:00+00:00,15.23,16.8,15.91,15.34,1187611.179
2025-02-12 00:00:00+00:00,14.47,15.58,15.33,15.46,854061.932
2025-02-13 00:00:00+00:00,15.29,17.84,15.46,16.31,2721694.521
2025-02-14 00:00:00+00:00,15.84,24.58,16.31,21.56,7895455.5
2025-02-15 00:00:00+00:00,18.1,22.42,21.57,18.66,3794511.107
2025-02-16 00:00:00+00:00,18.23,19.6,18.66,18.75,2003611.988
