time,low,high,open,close,volume
2024-06-11 00:00:00+00:00,2.772,3.018,3.006,2.831,134602.272
2024-06-12 00:00:00+00:00,2.731,3.007,2.829,2.918,100940.826
2024-06-13 00:00:00+00:00,2.725,2.925,2.902,2.753,68866.529
2024-06-14 00:00:00+00:00,2.696,3.0,2.758,2.805,174037.009
2024-06-15 00:00:00+00:00,2.796,2.919,2.796,2.856,84114.363
2024-06-16 00:00:00+00:00,2.842,3.07,2.854,3.005,181851.675
2024-06-17 00:00:00+00:00,2.68,3.027,3.005,2.744,154097.803
2024-06-18 00:00:00+00:00,2.343,2.743,2.743,2.467,226763.881
2024-06-19 00:00:00+00:00,2.456,2.661,2.46,2.608,93632.041
2024-06-20 00:00:00+00:00,2.554,2.745,2.605,2.609,96119.282
2024-06-21 00:00:00+00:00,2.566,2.687,2.61,2.616,88874.704
2024-06-22 00:00:00+00:00,2.555,2.633,2.607,2.579,44322.471
2024-06-23 00:00:00+00:00,2.458,2.624,2.585,2.48,17290.377
2024-06-24 00:00:00+00:00,2.336,2.516,2.484,2.516,82221.721
2024-06-25 00:00:00+00:00,2.515,2.662,2.524,2.588,36854.285
2024-06-26 00:00:00+00:00,2.557,2.777,2.584,2.635,219422.024
2024-06-27 00:00:00+00:00,2.55,2.641,2.617,2.603,57793.3
2024-06-28 00:00:00+00:00,2.492,2.657,2.607,2.492,56911.824
2024-06-29 00:00:00+00:00,2.333,2.504,2.491,2.353,93566.775
2024-06-30 00:00:00+00:00,2.328,2.437,2.352,2.431,80612.852
2024-07-01 00:00:00+00:00,2.348,2.471,2.426,2.35,125858.959
2024-07-02 00:00:00+00:00,2.254,2.373,2.351,2.296,89114.533
2024-07-03 00:00:00+00:00,2.216,2.471,2.295,2.24,72629.324
2024-07-04 00:00:00+00:00,1.957,2.246,2.236,1.975,145161.971
2024-07-05 00:00:00+00:00,1.69,1.978,1.977,1.829,260853.073
2024-07-06 00:00:00+00:00,1.822,2.077,1.822,2.062,117480.974
2024-07-07 00:00:00+00:00,1.905,2.132,2.047,1.905,121890.6
2024-07-08 00:00:00+00:00,1.832,2.07,1.929,1.99,78165.909
2024-07-09 00:00:00+00:00,1.978,2.076,1.987,2.038,38279.581
2024-07-10 00:00:00+00:00,2.026,2.11,2.047,2.053,66689.61
2024-07-11 00:00:00+00:00,1.988,2.114,2.054,2.002,110262.31
