time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,0.561,0.626,0.622,0.582,174400.23
2024-06-11 00:00:00+00:00,0.537,0.587,0.584,0.557,252236.56
2024-06-12 00:00:00+00:00,0.538,0.586,0.555,0.576,294413.99
2024-06-13 00:00:00+00:00,0.545,0.577,0.576,0.55,150955.12
2024-06-14 00:00:00+00:00,0.537,0.568,0.549,0.541,102115.51
2024-06-15 00:00:00+00:00,0.524,0.541,0.54,0.529,63831.09
2024-06-16 00:00:00+00:00,0.515,0.53,0.528,0.521,131996.67
2024-06-17 00:00:00+00:00,0.466,0.52,0.519,0.469,301132.92
2024-06-18 00:00:00+00:00,0.411,0.469,0.468,0.421,276666.93
2024-06-19 00:00:00+00:00,0.389,0.431,0.422,0.393,225218.44
2024-06-20 00:00:00+00:00,0.394,0.475,0.395,0.468,516894.46
2024-06-21 00:00:00+00:00,0.455,0.561,0.467,0.459,1112518.52
2024-06-22 00:00:00+00:00,0.458,0.544,0.46,0.507,271871.81
2024-06-23 00:00:00+00:00,0.468,0.535,0.506,0.469,162242.58
2024-06-24 00:00:00+00:00,0.445,0.478,0.47,0.462,258212.11
2024-06-25 00:00:00+00:00,0.464,0.532,0.466,0.508,401892.51
2024-06-26 00:00:00+00:00,0.482,0.565,0.509,0.5,645111.69
2024-06-27 00:00:00+00:00,0.492,0.507,0.5,0.502,78062.01
2024-06-28 00:00:00+00:00,0.491,0.527,0.502,0.512,135782.32
2024-06-29 00:00:00+00:00,0.487,0.517,0.513,0.489,236592.45
2024-06-30 00:00:00+00:00,0.486,0.51,0.496,0.509,59990.73
2024-07-01 00:00:00+00:00,0.487,0.518,0.511,0.497,157796.0
2024-07-02 00:00:00+00:00,0.481,0.499,0.497,0.487,76139.48
2024-07-03 00:00:00+00:00,0.415,0.488,0.486,0.436,391384.79
2024-07-04 00:00:00+00:00,0.416,0.445,0.439,0.418,164426.45
2024-07-05 00:00:00+00:00,0.385,0.42,0.42,0.405,406918.72
2024-07-06 00:00:00+00:00,0.393,0.465,0.402,0.439,113428.8
2024-07-07 00:00:00+00:00,0.419,0.448,0.439,0.425,107921.66
2024-07-08 00:00:00+00:00,0.403,0.438,0.42,0.421,133638.36
2024-07-09 00:00:00+00:00,0.421,0.453,0.423,0.434,114469.66
2024-07-10 00:00:00+00:00,0.435,0.489,0.438,0.486,135896.04
2024-07-11 00:00:00+00:00,0.47,0.57,0.485,0.475,580106.54
2024-07-12 00:00:00+00:00,0.467,0.489,0.475,0.487,91578.87
2024-07-13 00:00:00+00:00,0.483,0.499,0.486,0.497,83846.89
2024-07-14 00:00:00+00:00,0.496,0.506,0.496,0.504,49994.54
2024-07-15 00:00:00+00:00,0.504,0.535,0.504,0.534,113721.63
2024-07-16 00:00:00+00:00,0.512,0.554,0.535,0.523,175024.84
2024-07-17 00:00:00+00:00,0.508,0.528,0.521,0.508,88245.5
2024-07-18 00:00:00+00:00,0.48,0.509,0.509,0.49,159766.26
2024-07-19 00:00:00+00:00,0.49,0.524,0.49,0.513,102712.66
2024-07-20 00:00:00+00:00,0.512,0.528,0.514,0.523,118683.29
2024-07-21 00:00:00+00:00,0.51,0.527,0.521,0.516,39881.88
2024-07-22 00:00:00+00:00,0.49,0.522,0.517,0.498,111076.18
2024-07-23 00:00:00+00:00,0.48,0.503,0.497,0.491,50073.07
2024-07-24 00:00:00+00:00,0.479,0.511,0.491,0.492,187147.42
2024-07-25 00:00:00+00:00,0.46,0.491,0.491,0.474,80841.49
2024-07-26 00:00:00+00:00,0.473,0.495,0.474,0.485,71452.03
2024-07-27 00:00:00+00:00,0.467,0.486,0.485,0.473,69752.38
2024-07-28 00:00:00+00:00,0.464,0.476,0.469,0.465,41015.67
2024-07-29 00:00:00+00:00,0.449,0.472,0.465,0.455,76698.33
2024-07-30 00:00:00+00:00,0.433,0.455,0.455,0.438,81036.71
