time,low,high,open,close,volume
2024-11-13 00:00:00+00:00,3.873,4.4,4.299,4.18,1599788.61
2024-11-14 00:00:00+00:00,3.526,4.364,4.176,3.592,6839344.56
2024-11-15 00:00:00+00:00,3.37,4.034,3.591,3.9,7035911.78
2024-11-16 00:00:00+00:00,3.555,3.976,3.898,3.605,4278834.54
2024-11-17 00:00:00+00:00,3.379,3.95,3.603,3.614,4714332.14
2024-11-18 00:00:00+00:00,3.366,3.722,3.618,3.455,3744515.11
2024-11-19 00:00:00+00:00,3.19,3.568,3.455,3.291,4827729.58
2024-11-20 00:00:00+00:00,3.034,3.371,3.292,3.05,3187044.48
2024-11-21 00:00:00+00:00,2.976,3.39,3.052,3.264,4222598.0
2024-11-22 00:00:00+00:00,3.047,3.441,3.27,3.211,4794278.31
2024-11-23 00:00:00+00:00,3.135,3.581,3.211,3.275,5049690.2
2024-11-24 00:00:00+00:00,3.012,3.476,3.276,3.171,4267751.59
2024-11-25 00:00:00+00:00,3.065,3.666,3.174,3.182,8975684.54
2024-11-26 00:00:00+00:00,2.902,3.381,3.182,3.012,5727232.59
2024-11-27 00:00:00+00:00,2.957,3.183,3.011,3.117,3411482.98
2024-11-28 00:00:00+00:00,2.97,3.219,3.119,3.078,1887558.49
2024-11-29 00:00:00+00:00,3.056,3.333,3.079,3.289,3254419.54
2024-11-30 00:00:00+00:00,3.159,3.311,3.29,3.181,1973557.02
2024-12-01 00:00:00+00:00,3.052,3.453,3.181,3.446,4098631.97
2024-12-02 00:00:00+00:00,2.996,3.481,3.44,3.12,6023248.8
2024-12-03 00:00:00+00:00,2.922,3.374,3.12,3.279,5232921.49
2024-12-04 00:00:00+00:00,3.113,3.435,3.281,3.198,5747570.01
2024-12-05 00:00:00+00:00,3.04,3.449,3.2,3.351,6030530.76
2024-12-06 00:00:00+00:00,3.273,3.605,3.351,3.487,8385882.84
2024-12-07 00:00:00+00:00,3.405,4.021,3.489,3.883,15771107.71
2024-12-08 00:00:00+00:00,3.636,3.934,3.883,3.719,10045242.78
2024-12-09 00:00:00+00:00,2.576,3.72,3.72,3.05,10318011.41
2024-12-10 00:00:00+00:00,2.644,3.141,3.051,2.847,9706915.65
2024-12-11 00:00:00+00:00,2.756,3.143,2.847,3.05,4497273.31
2024-12-12 00:00:00+00:00,2.931,3.198,3.057,2.949,5799532.96
2024-12-13 00:00:00+00:00,2.846,3.003,2.949,2.954,4177518.82
2024-12-14 00:00:00+00:00,2.757,2.976,2.954,2.843,3238382.92
2024-12-15 00:00:00+00:00,2.701,2.889,2.842,2.853,2941057.22
2024-12-16 00:00:00+00:00,2.631,2.929,2.856,2.746,4517688.29
2024-12-17 00:00:00+00:00,2.671,2.872,2.746,2.708,3600074.56
2024-12-18 00:00:00+00:00,2.229,2.784,2.719,2.305,6095998.34
2024-12-19 00:00:00+00:00,2.023,2.327,2.304,2.065,9392946.2
2024-12-20 00:00:00+00:00,1.722,2.159,2.064,2.104,10850059.67
2024-12-21 00:00:00+00:00,1.857,2.253,2.102,1.887,4526251.92
2024-12-22 00:00:00+00:00,1.814,2.04,1.889,1.919,3792715.82
2024-12-23 00:00:00+00:00,1.846,2.049,1.916,2.026,3632096.3
2024-12-24 00:00:00+00:00,1.947,2.097,2.023,2.05,3565609.85
2024-12-25 00:00:00+00:00,1.942,2.084,2.049,1.977,2814027.73
2024-12-26 00:00:00+00:00,1.814,2.006,1.978,1.838,2893287.39
2024-12-27 00:00:00+00:00,1.796,1.932,1.838,1.825,2080064.64
2024-12-28 00:00:00+00:00,1.798,1.97,1.827,1.923,2064047.64
2024-12-29 00:00:00+00:00,1.813,1.948,1.927,1.829,1263091.52
2024-12-30 00:00:00+00:00,1.778,1.933,1.827,1.821,3548361.95
2024-12-31 00:00:00+00:00,1.733,1.951,1.821,1.86,5620918.54
2025-01-01 00:00:00+00:00,1.759,1.916,1.855,1.853,4193987.79
2025-01-02 00:00:00+00:00,1.848,2.052,1.854,2.021,5857460.04
2025-01-03 00:00:00+00:00,1.946,2.209,2.024,2.165,8093434.95
2025-01-04 00:00:00+00:00,2.091,2.181,2.165,2.178,4229022.62
2025-01-05 00:00:00+00:00,2.072,2.197,2.177,2.106,5121885.22
2025-01-06 00:00:00+00:00,2.024,2.159,2.108,2.085,5456988.96
2025-01-07 00:00:00+00:00,1.841,2.101,2.086,1.852,7228594.82
2025-01-08 00:00:00+00:00,1.658,1.887,1.852,1.709,7763216.86
2025-01-09 00:00:00+00:00,1.491,1.734,1.709,1.543,15508380.72
2025-01-10 00:00:00+00:00,1.516,1.632,1.544,1.558,7867018.52
2025-01-11 00:00:00+00:00,1.526,1.641,1.557,1.577,5133257.08
2025-01-12 00:00:00+00:00,1.524,1.59,1.578,1.543,2553176.8
2025-01-13 00:00:00+00:00,1.355,1.594,1.543,1.49,9836316.19
2025-01-14 00:00:00+00:00,1.473,1.575,1.491,1.551,4218957.27
2025-01-15 00:00:00+00:00,1.502,1.782,1.552,1.773,8380440.16
2025-01-16 00:00:00+00:00,1.706,1.855,1.775,1.763,8067836.79
2025-01-17 00:00:00+00:00,1.75,1.919,1.764,1.873,8819810.98
2025-01-18 00:00:00+00:00,1.738,1.992,1.873,1.769,13929317.19
2025-01-19 00:00:00+00:00,1.498,1.82,1.769,1.534,16981535.26
2025-01-20 00:00:00+00:00,1.36,1.604,1.534,1.39,16370585.28
2025-01-21 00:00:00+00:00,1.311,1.53,1.39,1.454,9354165.01
2025-01-22 00:00:00+00:00,1.391,1.488,1.453,1.417,4756788.42
2025-01-23 00:00:00+00:00,1.344,1.462,1.417,1.42,8843621.3
2025-01-24 00:00:00+00:00,1.262,1.475,1.42,1.285,6571252.3
2025-01-25 00:00:00+00:00,1.225,1.331,1.285,1.279,8015870.88
2025-01-26 00:00:00+00:00,1.204,1.305,1.278,1.21,5219836.89
2025-01-27 00:00:00+00:00,1.08,1.21,1.209,1.186,9781537.26
2025-01-28 00:00:00+00:00,0.973,1.206,1.186,1.054,13962000.45
2025-01-29 00:00:00+00:00,1.053,1.389,1.057,1.184,46870749.42
2025-01-30 00:00:00+00:00,1.152,1.262,1.186,1.154,15191855.15
2025-01-31 00:00:00+00:00,1.11,1.319,1.154,1.134,23795473.8
2025-02-01 00:00:00+00:00,0.993,1.175,1.133,1.009,22684187.12
2025-02-02 00:00:00+00:00,0.867,1.068,1.008,0.949,27877572.13
2025-02-03 00:00:00+00:00,0.63,0.949,0.949,0.861,54110647.16
2025-02-04 00:00:00+00:00,0.747,0.892,0.862,0.803,22422757.59
2025-02-05 00:00:00+00:00,0.77,0.853,0.801,0.795,18157493.99
2025-02-06 00:00:00+00:00,0.701,0.82,0.796,0.711,18186385.47
2025-02-07 00:00:00+00:00,0.646,0.783,0.71,0.678,18520497.01
2025-02-08 00:00:00+00:00,0.66,0.737,0.677,0.717,14461075.46
2025-02-09 00:00:00+00:00,0.612,0.736,0.718,0.647,13995047.02
2025-02-10 00:00:00+00:00,0.618,0.69,0.648,0.657,17298356.57
2025-02-11 00:00:00+00:00,0.612,0.698,0.657,0.627,24122746.33
2025-02-12 00:00:00+00:00,0.551,0.632,0.626,0.605,32356142.72
