time,low,high,open,close,volume
2025-04-30 00:00:00+00:00,1.119,1.206,1.171,1.13,230512.94
2025-05-01 00:00:00+00:00,1.015,1.171,1.13,1.052,2051678.41
2025-05-02 00:00:00+00:00,1.015,1.068,1.052,1.032,1084758.46
2025-05-03 00:00:00+00:00,0.954,1.038,1.033,0.958,1021697.97
2025-05-04 00:00:00+00:00,0.916,0.969,0.957,0.922,674954.22
2025-05-05 00:00:00+00:00,0.853,0.965,0.924,0.873,1113044.5
2025-05-06 00:00:00+00:00,0.862,0.939,0.872,0.929,1362298.77
2025-05-07 00:00:00+00:00,0.906,0.973,0.93,0.932,1726697.99
2025-05-08 00:00:00+00:00,0.927,1.085,0.933,1.066,2180990.84
2025-05-09 00:00:00+00:00,1.054,2.13,1.066,1.141,3583664.5
2025-05-10 00:00:00+00:00,1.134,1.255,1.14,1.255,1774730.49
2025-05-11 00:00:00+00:00,1.209,1.365,1.254,1.264,2697055.91
2025-05-12 00:00:00+00:00,1.205,1.351,1.264,1.283,2569209.86
2025-05-13 00:00:00+00:00,1.178,1.341,1.285,1.298,2543618.35
2025-05-14 00:00:00+00:00,1.22,1.412,1.302,1.241,2224560.0
2025-05-15 00:00:00+00:00,1.117,1.27,1.242,1.148,1217407.46
2025-05-16 00:00:00+00:00,1.093,1.194,1.149,1.11,1642369.6
2025-05-17 00:00:00+00:00,1.05,1.112,1.109,1.073,1097688.49
2025-05-18 00:00:00+00:00,1.064,1.191,1.072,1.179,1507158.58
2025-05-19 00:00:00+00:00,1.069,1.19,1.179,1.127,1338847.69
2025-05-20 00:00:00+00:00,1.063,1.161,1.129,1.116,1174297.55
2025-05-21 00:00:00+00:00,1.091,1.285,1.117,1.198,2669169.14
2025-05-22 00:00:00+00:00,1.193,1.682,1.197,1.516,11595077.63
2025-05-23 00:00:00+00:00,1.335,1.607,1.516,1.355,8682431.98
2025-05-24 00:00:00+00:00,1.347,1.529,1.353,1.406,3303533.24
2025-05-25 00:00:00+00:00,1.314,1.431,1.407,1.424,2156469.71
2025-05-26 00:00:00+00:00,1.341,1.471,1.425,1.368,2314988.62
2025-05-27 00:00:00+00:00,1.331,1.447,1.368,1.405,2495703.16
2025-05-28 00:00:00+00:00,1.3,1.422,1.403,1.358,2787877.27
2025-05-29 00:00:00+00:00,1.305,1.401,1.36,1.309,1807535.48
2025-05-30 00:00:00+00:00,1.109,1.324,1.312,1.128,3329678.85
2025-05-31 00:00:00+00:00,1.073,1.173,1.127,1.138,1395806.34
2025-06-01 00:00:00+00:00,1.1,1.182,1.137,1.168,927164.26
2025-06-02 00:00:00+00:00,1.109,1.194,1.167,1.188,807565.72
2025-06-03 00:00:00+00:00,1.179,1.251,1.187,1.189,964448.35
2025-06-04 00:00:00+00:00,1.129,1.214,1.19,1.132,824946.07
2025-06-05 00:00:00+00:00,1.014,1.148,1.133,1.035,1991286.54
2025-06-06 00:00:00+00:00,1.03,1.098,1.035,1.064,1385911.92
2025-06-07 00:00:00+00:00,1.059,1.142,1.063,1.123,934392.35
2025-06-08 00:00:00+00:00,1.092,1.146,1.121,1.107,697454.15
2025-06-09 00:00:00+00:00,1.069,1.145,1.107,1.116,1270719.69
