time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,0.836,0.865,0.852,0.846,1160065.53
2024-06-11 00:00:00+00:00,0.793,0.855,0.847,0.815,1232572.73
2024-06-12 00:00:00+00:00,0.798,0.862,0.816,0.848,1071959.09
2024-06-13 00:00:00+00:00,0.807,0.854,0.848,0.814,559092.15
2024-06-14 00:00:00+00:00,0.797,0.849,0.815,0.814,874276.41
2024-06-15 00:00:00+00:00,0.807,0.823,0.814,0.816,180848.39
2024-06-16 00:00:00+00:00,0.806,0.819,0.817,0.817,129496.68
2024-06-17 00:00:00+00:00,0.74,0.821,0.817,0.761,1271264.94
2024-06-18 00:00:00+00:00,0.678,0.762,0.762,0.753,1938375.1
2024-06-19 00:00:00+00:00,0.748,0.785,0.753,0.776,466406.48
2024-06-20 00:00:00+00:00,0.772,0.801,0.776,0.778,385405.74
2024-06-21 00:00:00+00:00,0.766,0.795,0.779,0.777,374169.18
2024-06-22 00:00:00+00:00,0.769,0.781,0.779,0.772,80193.54
2024-06-23 00:00:00+00:00,0.765,0.782,0.774,0.775,171643.04
2024-06-24 00:00:00+00:00,0.73,0.78,0.774,0.776,933022.4
2024-06-25 00:00:00+00:00,0.773,0.803,0.775,0.792,419087.09
2024-06-26 00:00:00+00:00,0.77,0.802,0.792,0.77,725055.61
2024-06-27 00:00:00+00:00,0.759,0.79,0.77,0.776,603130.18
2024-06-28 00:00:00+00:00,0.756,0.781,0.776,0.758,571281.54
2024-06-29 00:00:00+00:00,0.757,0.786,0.759,0.766,258347.28
2024-06-30 00:00:00+00:00,0.756,0.796,0.768,0.793,483697.54
2024-07-01 00:00:00+00:00,0.784,0.805,0.794,0.785,497770.45
2024-07-02 00:00:00+00:00,0.782,0.806,0.785,0.801,471948.73
2024-07-03 00:00:00+00:00,0.758,0.802,0.802,0.767,544437.1
2024-07-04 00:00:00+00:00,0.679,0.771,0.767,0.681,913149.28
2024-07-05 00:00:00+00:00,0.619,0.742,0.682,0.729,2765576.35
2024-07-06 00:00:00+00:00,0.718,0.755,0.728,0.746,785439.95
2024-07-07 00:00:00+00:00,0.688,0.749,0.747,0.69,463291.64
2024-07-08 00:00:00+00:00,0.667,0.735,0.691,0.716,1187992.04
2024-07-09 00:00:00+00:00,0.709,0.754,0.714,0.751,1111086.84
2024-07-10 00:00:00+00:00,0.74,0.767,0.752,0.746,494967.89
2024-07-11 00:00:00+00:00,0.741,0.776,0.746,0.75,884900.04
2024-07-12 00:00:00+00:00,0.736,0.771,0.749,0.771,695788.3
2024-07-13 00:00:00+00:00,0.769,0.795,0.771,0.786,260429.64
2024-07-14 00:00:00+00:00,0.776,0.797,0.786,0.793,334351.27
2024-07-15 00:00:00+00:00,0.791,0.824,0.792,0.823,536398.44
2024-07-16 00:00:00+00:00,0.787,0.832,0.824,0.824,576489.64
2024-07-17 00:00:00+00:00,0.804,0.838,0.823,0.804,579121.9
2024-07-18 00:00:00+00:00,0.784,0.824,0.806,0.8,1080380.61
2024-07-19 00:00:00+00:00,0.787,0.829,0.8,0.81,948589.91
2024-07-20 00:00:00+00:00,0.79,0.832,0.81,0.806,297478.47
2024-07-21 00:00:00+00:00,0.769,0.811,0.806,0.805,388860.52
2024-07-22 00:00:00+00:00,0.769,0.81,0.806,0.772,715596.01
2024-07-23 00:00:00+00:00,0.743,0.788,0.773,0.76,936414.06
2024-07-24 00:00:00+00:00,0.74,0.774,0.76,0.744,687964.76
2024-07-25 00:00:00+00:00,0.717,0.749,0.744,0.745,660080.97
2024-07-26 00:00:00+00:00,0.743,0.781,0.744,0.779,679229.89
2024-07-27 00:00:00+00:00,0.765,0.788,0.779,0.778,361505.89
2024-07-28 00:00:00+00:00,0.763,0.782,0.778,0.773,541931.71
2024-07-29 00:00:00+00:00,0.752,0.797,0.774,0.756,832442.34
2024-07-30 00:00:00+00:00,0.739,0.768,0.756,0.752,502251.26
2024-07-31 00:00:00+00:00,0.73,0.756,0.752,0.731,555436.31
2024-08-01 00:00:00+00:00,0.69,0.737,0.732,0.727,704341.17
2024-08-02 00:00:00+00:00,0.68,0.728,0.727,0.688,570748.88
2024-08-03 00:00:00+00:00,0.665,0.707,0.689,0.684,561499.35
2024-08-04 00:00:00+00:00,0.637,0.694,0.685,0.661,550837.78
2024-08-05 00:00:00+00:00,0.541,0.665,0.661,0.615,2830859.52
2024-08-06 00:00:00+00:00,0.615,0.658,0.615,0.644,1019055.7
2024-08-07 00:00:00+00:00,0.631,0.682,0.645,0.639,850963.79
2024-08-08 00:00:00+00:00,0.631,0.707,0.641,0.705,587160.32
2024-08-09 00:00:00+00:00,0.678,0.705,0.705,0.687,916241.87
2024-08-10 00:00:00+00:00,0.675,0.693,0.687,0.688,698195.06
