time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,7.56,8.22,7.87,7.9,21518.918
2024-06-11 00:00:00+00:00,7.33,7.97,7.91,7.58,21831.958
2024-06-12 00:00:00+00:00,7.41,7.98,7.61,7.88,9725.722
2024-06-13 00:00:00+00:00,7.27,7.87,7.86,7.34,9126.422
2024-06-14 00:00:00+00:00,7.07,7.53,7.3,7.28,7882.218
2024-06-15 00:00:00+00:00,7.2,7.36,7.32,7.26,1260.954
2024-06-16 00:00:00+00:00,7.12,7.34,7.22,7.31,4833.962
2024-06-17 00:00:00+00:00,6.72,7.41,7.31,6.87,15953.509
2024-06-18 00:00:00+00:00,5.96,6.87,6.87,6.3,65217.593
2024-06-19 00:00:00+00:00,6.24,6.64,6.3,6.52,12061.721
2024-06-20 00:00:00+00:00,6.48,6.84,6.5,6.61,5907.47
2024-06-21 00:00:00+00:00,6.53,6.8,6.59,6.62,5131.196
2024-06-22 00:00:00+00:00,6.41,6.57,6.52,6.44,7600.047
2024-06-23 00:00:00+00:00,6.27,6.67,6.45,6.36,3949.174
2024-06-24 00:00:00+00:00,6.03,6.49,6.37,6.49,18170.326
2024-06-25 00:00:00+00:00,6.43,6.75,6.48,6.61,6361.037
2024-06-26 00:00:00+00:00,6.44,6.75,6.67,6.54,6425.357
2024-06-27 00:00:00+00:00,6.4,6.71,6.54,6.7,7235.961
2024-06-28 00:00:00+00:00,6.56,6.79,6.67,6.57,5742.337
2024-06-29 00:00:00+00:00,6.38,6.67,6.57,6.38,5541.508
2024-06-30 00:00:00+00:00,6.33,6.74,6.41,6.73,4612.035
2024-07-01 00:00:00+00:00,6.7,8.07,6.71,7.15,86923.524
2024-07-02 00:00:00+00:00,7.0,7.77,7.1,7.66,36438.241
2024-07-03 00:00:00+00:00,7.67,8.35,7.67,8.1,60058.025
2024-07-04 00:00:00+00:00,7.69,8.7,8.1,8.0,164358.52
2024-07-05 00:00:00+00:00,7.36,9.86,7.95,9.62,140536.93
2024-07-06 00:00:00+00:00,9.09,10.19,9.58,9.51,67766.797
2024-07-07 00:00:00+00:00,8.3,10.53,9.54,8.31,79247.17
2024-07-08 00:00:00+00:00,8.05,9.18,8.33,9.06,46669.271
2024-07-09 00:00:00+00:00,9.07,10.97,9.07,10.87,105317.102
2024-07-10 00:00:00+00:00,10.67,11.62,10.86,10.83,48578.578
2024-07-11 00:00:00+00:00,10.44,10.99,10.83,10.68,47575.133
2024-07-12 00:00:00+00:00,8.74,10.78,10.71,9.52,75495.078
2024-07-13 00:00:00+00:00,9.37,12.22,9.64,11.13,105415.24
2024-07-14 00:00:00+00:00,10.92,11.98,11.14,11.46,42786.907
2024-07-15 00:00:00+00:00,11.13,12.86,11.49,12.09,81138.542
2024-07-16 00:00:00+00:00,11.54,12.27,12.11,11.73,34533.582
2024-07-17 00:00:00+00:00,11.36,12.02,11.8,11.64,19141.483
2024-07-18 00:00:00+00:00,11.55,12.61,11.68,12.39,25092.36
2024-07-19 00:00:00+00:00,11.87,12.66,12.4,12.32,25784.431
2024-07-20 00:00:00+00:00,12.23,13.36,12.33,12.87,44058.057
