time,low,high,open,close,volume
2024-09-23 00:00:00+00:00,0.6521,0.6749,0.6591,0.6609,159219.03
2024-09-24 00:00:00+00:00,0.6604,4.3997,0.6605,0.686,522259.31
2024-09-25 00:00:00+00:00,0.6339,0.6865,0.6861,0.6386,321156.95
2024-09-26 00:00:00+00:00,0.6185,0.7305,0.6405,0.6985,182405.45
2024-09-27 00:00:00+00:00,0.6841,0.7543,0.7106,0.7181,119457.92
2024-09-28 00:00:00+00:00,0.7247,0.7853,0.7247,0.7464,60549.7
2024-09-29 00:00:00+00:00,0.7053,0.7601,0.7371,0.7135,31270.21
2024-09-30 00:00:00+00:00,0.6434,0.7178,0.7178,0.6472,15766.83
2024-10-01 00:00:00+00:00,0.5863,0.7068,0.6477,0.5977,80826.82
2024-10-02 00:00:00+00:00,0.5618,0.623,0.5904,0.5738,126194.65
2024-10-03 00:00:00+00:00,0.5244,0.5895,0.5738,0.5409,16060.85
2024-10-04 00:00:00+00:00,0.542,0.601,0.546,0.5874,28604.66
2024-10-05 00:00:00+00:00,0.5823,0.612,0.5914,0.5978,110211.09
2024-10-06 00:00:00+00:00,0.5833,0.6119,0.5946,0.6089,80375.78
2024-10-07 00:00:00+00:00,0.59,0.6352,0.609,0.5957,183596.76
2024-10-08 00:00:00+00:00,0.5628,0.6045,0.5904,0.5721,70020.43
2024-10-09 00:00:00+00:00,0.5338,0.5833,0.5724,0.5441,60819.31
2024-10-10 00:00:00+00:00,0.5149,0.5489,0.5436,0.5409,78140.72
2024-10-11 00:00:00+00:00,0.5374,0.5891,0.5407,0.5809,83703.58
2024-10-12 00:00:00+00:00,0.575,0.5995,0.583,0.5831,100685.21
2024-10-13 00:00:00+00:00,0.5736,0.6078,0.5845,0.5936,80624.19
2024-10-14 00:00:00+00:00,0.5812,0.6347,0.5904,0.6292,71585.46
2024-10-15 00:00:00+00:00,0.5854,0.6563,0.6349,0.6563,109048.45
2024-10-16 00:00:00+00:00,0.6015,0.6511,0.6511,0.6135,107092.78
2024-10-17 00:00:00+00:00,0.5861,0.62,0.6136,0.6006,100182.38
2024-10-18 00:00:00+00:00,0.5999,0.6361,0.6003,0.6276,293638.81
2024-10-19 00:00:00+00:00,0.6278,0.7198,0.6285,0.6796,280253.0
2024-10-20 00:00:00+00:00,0.6516,0.7,0.6814,0.6661,117165.52
2024-10-21 00:00:00+00:00,0.647,0.7006,0.669,0.6628,65202.16
2024-10-22 00:00:00+00:00,0.6526,0.7067,0.6682,0.6885,41937.23
2024-10-23 00:00:00+00:00,0.6867,0.7636,0.6869,0.7177,459937.31
2024-10-24 00:00:00+00:00,0.6714,0.7251,0.7139,0.6947,78790.98
2024-10-25 00:00:00+00:00,0.6083,0.7185,0.6965,0.627,104777.0
2024-10-26 00:00:00+00:00,0.616,0.6514,0.6298,0.6312,85380.88
2024-10-27 00:00:00+00:00,0.6266,0.6873,0.6307,0.6647,52525.88
2024-10-28 00:00:00+00:00,0.5975,0.6768,0.6753,0.6328,76965.93
2024-10-29 00:00:00+00:00,0.6258,0.6878,0.6299,0.6611,70265.88
2024-10-30 00:00:00+00:00,0.647,0.7069,0.6572,0.6834,71955.74
2024-10-31 00:00:00+00:00,0.6609,0.7337,0.6876,0.6864,58069.14
2024-11-01 00:00:00+00:00,0.6359,0.6894,0.6894,0.646,48044.55
2024-11-02 00:00:00+00:00,0.6115,0.6611,0.6463,0.6296,102491.58
2024-11-03 00:00:00+00:00,0.5692,0.6312,0.6312,0.5942,68121.92
2024-11-04 00:00:00+00:00,0.5409,0.5975,0.5904,0.5529,73039.1
2024-11-05 00:00:00+00:00,0.548,0.5854,0.5586,0.5707,93829.91
2024-11-06 00:00:00+00:00,0.5721,0.6774,0.5721,0.6734,195934.56
2024-11-07 00:00:00+00:00,0.6746,0.7277,0.6769,0.7177,256012.62
2024-11-08 00:00:00+00:00,0.6726,0.7247,0.7143,0.7187,179472.5
2024-11-09 00:00:00+00:00,0.6983,0.8202,0.7124,0.7713,298641.14
2024-11-10 00:00:00+00:00,0.7446,0.828,0.7734,0.7994,206242.9
2024-11-11 00:00:00+00:00,0.7549,0.8422,0.7985,0.8422,164697.59
2024-11-12 00:00:00+00:00,0.7097,0.8732,0.8377,0.7608,477364.9
2024-11-13 00:00:00+00:00,0.6753,0.7656,0.7598,0.7023,491175.41
2024-11-14 00:00:00+00:00,0.6408,0.723,0.705,0.6495,270843.36
2024-11-15 00:00:00+00:00,0.6398,0.7492,0.6545,0.7374,349618.7
2024-11-16 00:00:00+00:00,0.7091,0.7631,0.7373,0.7585,329630.32
2024-11-17 00:00:00+00:00,0.6879,0.7568,0.7567,0.7037,370468.16
2024-11-18 00:00:00+00:00,0.6959,0.7436,0.703,0.7328,421258.37
2024-11-19 00:00:00+00:00,0.6871,0.7319,0.7283,0.7056,331479.8
2024-11-20 00:00:00+00:00,0.6265,0.7009,0.7001,0.6328,289710.75
2024-11-21 00:00:00+00:00,0.609,0.6892,0.63,0.6752,223595.03
2024-11-22 00:00:00+00:00,0.6336,0.6836,0.6783,0.6791,157298.32
2024-11-23 00:00:00+00:00,0.6648,0.7277,0.6791,0.7148,320035.74
2024-11-24 00:00:00+00:00,0.6557,0.7487,0.7128,0.7184,232649.41
2024-11-25 00:00:00+00:00,0.7004,0.7796,0.7187,0.7403,214942.2
2024-11-26 00:00:00+00:00,0.6844,0.7791,0.7478,0.7332,72215.44
2024-11-27 00:00:00+00:00,0.72,0.8023,0.7272,0.7974,84608.36
2024-11-28 00:00:00+00:00,0.7739,0.8328,0.7948,0.8277,95551.76
2024-11-29 00:00:00+00:00,0.7766,0.8256,0.8101,0.8178,152621.34
2024-11-30 00:00:00+00:00,0.7945,0.8776,0.8087,0.8552,157060.09
2024-12-01 00:00:00+00:00,0.829,0.929,0.8539,0.8817,121392.86
