time,low,high,open,close,volume
2024-06-20 00:00:00+00:00,3.449,3.953,3.685,3.522,183122.47
2024-06-21 00:00:00+00:00,2.965,3.619,3.522,3.042,694562.53
2024-06-22 00:00:00+00:00,2.8,3.388,3.042,3.088,777073.36
2024-06-23 00:00:00+00:00,2.754,3.293,3.075,2.804,467189.98
2024-06-24 00:00:00+00:00,2.566,2.889,2.805,2.851,608438.79
2024-06-25 00:00:00+00:00,2.727,2.92,2.851,2.765,417108.02
2024-06-26 00:00:00+00:00,2.524,2.811,2.765,2.544,824442.24
2024-06-27 00:00:00+00:00,2.466,2.635,2.539,2.547,524154.64
2024-06-28 00:00:00+00:00,2.489,2.706,2.545,2.513,1005048.11
2024-06-29 00:00:00+00:00,2.473,2.933,2.513,2.782,1388546.89
2024-06-30 00:00:00+00:00,2.687,3.531,2.782,3.474,1132831.3
2024-07-01 00:00:00+00:00,3.286,4.016,3.476,3.778,1119288.33
2024-07-02 00:00:00+00:00,3.67,4.108,3.778,3.826,1481440.15
2024-07-03 00:00:00+00:00,3.52,4.254,3.825,3.54,2246572.22
2024-07-04 00:00:00+00:00,3.036,3.575,3.55,3.087,1212884.84
2024-07-05 00:00:00+00:00,2.735,3.98,3.085,3.916,2130130.21
2024-07-06 00:00:00+00:00,3.888,4.428,3.917,4.212,1729012.08
2024-07-07 00:00:00+00:00,3.716,4.369,4.212,3.995,1356158.4
2024-07-08 00:00:00+00:00,3.686,4.114,3.998,3.858,1203569.27
2024-07-09 00:00:00+00:00,3.74,4.075,3.864,3.886,518567.02
2024-07-10 00:00:00+00:00,3.683,4.54,3.873,4.023,1246929.33
2024-07-11 00:00:00+00:00,3.734,4.211,4.032,3.748,711340.74
2024-07-12 00:00:00+00:00,3.609,3.883,3.767,3.748,343230.96
2024-07-13 00:00:00+00:00,3.658,3.866,3.754,3.73,196140.89
2024-07-14 00:00:00+00:00,3.618,3.956,3.728,3.873,283300.58
2024-07-15 00:00:00+00:00,3.863,4.198,3.889,4.154,469065.85
2024-07-16 00:00:00+00:00,3.817,4.172,4.154,3.988,361016.89
2024-07-17 00:00:00+00:00,3.969,4.383,3.989,3.999,542100.33
2024-07-18 00:00:00+00:00,3.774,4.175,4.016,3.927,454084.03
2024-07-19 00:00:00+00:00,3.713,3.994,3.924,3.966,297827.91
2024-07-20 00:00:00+00:00,3.859,5.453,3.968,5.302,1197614.33
2024-07-21 00:00:00+00:00,4.907,5.426,5.311,5.212,894221.33
2024-07-22 00:00:00+00:00,4.955,5.596,5.204,5.16,930199.97
2024-07-23 00:00:00+00:00,4.727,5.261,5.152,4.894,497102.44
2024-07-24 00:00:00+00:00,4.706,5.037,4.869,4.818,360210.62
2024-07-25 00:00:00+00:00,4.295,4.856,4.824,4.581,633564.84
2024-07-26 00:00:00+00:00,4.511,4.853,4.578,4.718,383976.33
2024-07-27 00:00:00+00:00,4.412,5.02,4.716,4.572,537551.56
2024-07-28 00:00:00+00:00,4.358,4.598,4.58,4.419,132620.46
2024-07-29 00:00:00+00:00,4.25,4.635,4.417,4.359,468101.3
2024-07-30 00:00:00+00:00,4.314,4.613,4.366,4.469,296687.97
2024-07-31 00:00:00+00:00,4.385,4.706,4.467,4.449,359469.5
2024-08-01 00:00:00+00:00,3.89,4.486,4.453,4.117,527932.99
2024-08-02 00:00:00+00:00,3.602,4.129,4.112,3.614,482531.13
2024-08-03 00:00:00+00:00,3.509,3.795,3.622,3.632,285676.8
2024-08-04 00:00:00+00:00,3.14,3.646,3.631,3.169,624343.42
2024-08-05 00:00:00+00:00,2.75,3.241,3.173,3.055,1227926.84
2024-08-06 00:00:00+00:00,3.064,3.403,3.064,3.29,490154.83
2024-08-07 00:00:00+00:00,2.968,3.426,3.287,2.986,418041.27
2024-08-08 00:00:00+00:00,2.914,3.654,2.99,3.626,794749.59
