Script,Description,Endpoints,Libraries,Overlap
code/data_upload_utils.py,data upload utils,,Unknown HTTP API,No
code/intraday/coingecko_crypto_price_1m.py,coingecko crypto price 1m,,"CoinGecko API, Unknown HTTP API",No
code/intraday/data_upload_utils.py,data upload utils,,Unknown HTTP API,No
code/intraday/btc_5m_history.py,btc 5m history,https://api.binance.us/api/v3/klines,,No
code/intraday/bitcoin_close_5min.py,bitcoin close 5min,,"Yahoo Finance API, Unknown HTTP API",No
code/intraday/bitcoin_close_30min.py,bitcoin close 30min,,"Yahoo Finance API, Unknown HTTP API",No
code/intraday/bitcoin_close_1min.py,bitcoin close 1min,,"Yahoo Finance API, Unknown HTTP API",No
code/intraday/bitcoin_close_1h.py,bitcoin close 1h,,"Yahoo Finance API, Unknown HTTP API",No
code/intraday/bitcoin_close_15min.py,bitcoin close 15min,,"Yahoo Finance API, Unknown HTTP API",No
code/quarterly/fetch_stock_buybacks.py,fetch stock buybacks,https://ycharts.com/indicators/sp_500_buybacks,,No
code/quarterly/fetch_household_debt_levels.py,fetch household debt levels,,Unknown HTTP API,No
code/quarterly/fetch_loan_to_deposit_ratios.py,fetch loan to deposit ratios,https://data.imf.org/?sk=51B096FA-2CD2-40DC-AE8A-BF71B1E1A2B3,,No
code/quarterly/data_upload_utils.py,data upload utils,,Unknown HTTP API,No
code/quarterly/Government Budget Balance (OECD).py,Government Budget Balance (OECD),https://api.stlouisfed.org/fred/series/observations,,Yes
code/quarterly/fetch_mortgage_default_rates.py,fetch mortgage default rates,,Unknown HTTP API,No
code/quarterly/fetch_capital_flows.py,fetch capital flows,https://data.imf.org/?sk=7A51304B-6426-40C0-83DD-CA473CA1FD52,,No
code/quarterly/Foreign Direct Investment (FDI) (UNCTAD).py,Foreign Direct Investment (FDI) (UNCTAD),https://unctad.org/topic/investment/statistics,,No
code/quarterly/Current Account Balance (OECD).py,Current Account Balance (OECD),,Unknown HTTP API,No
code/quarterly/GDP Growth Rate.py,GDP Growth Rate,,Unknown HTTP API,No
code/quarterly/fetch_bank_capital_adequacy_ratios.py,fetch bank capital adequacy ratios,https://www.bis.org/statistics/totcredit.htm,,No
code/quarterly/fetch_labor_productivity.py,fetch labor productivity,,Unknown HTTP API,No
code/quarterly/fetch_corporate_debt_levels.py,fetch corporate debt levels,,Unknown HTTP API,No
code/quarterly/Gross Domestic Product.py,Gross Domestic Product,,Unknown HTTP API,No
code/daily/fetch_equity_market_cap.py,fetch equity market cap,,"Yahoo Finance API, Unknown HTTP API",No
code/daily/PricesScript.py,PricesScript,,"CoinGecko API, Unknown HTTP API",No
code/daily/InterestRate.py,InterestRate,,Unknown HTTP API,No
code/daily/US Gov - BTC Balance and USD Value.py,US Gov - BTC Balance and USD Value,,"Dune Analytics API, Unknown HTTP API",No
code/daily/Active Addresses.py,Active Addresses,,"Dune Analytics API, Unknown HTTP API",No
code/daily/coingecko_crypto_price_daily.py,coingecko crypto price daily,,"CoinGecko API, Unknown HTTP API",No
code/daily/fetch_gold_prices.py,fetch gold prices,https://fred.stlouisfed.org/graph/fredgraph.csv?id={series_ids[0]}; https://fred.stlouisfed.org/series/{series_ids[0]}/downloaddata/{series_ids[0]}.csv,,No
code/daily/OpenSea NFT Stats.py,OpenSea NFT Stats,https://api.opensea.io/api/v1/collection/{COLLECTION_SLUG}/stats,,No
