script,dataset_names,apis,api_descriptions
code/data_upload_utils.py,,,
code/quarterly/Current Account Balance (OECD).py,US Current Account Balance (% of GDP),,
code/quarterly/fetch_bank_capital_adequacy_ratios.py,Bank Capital Adequacy Ratio (%),https://www.bis.org/statistics/totcredit.htm,www.bis.org
code/quarterly/Foreign Direct Investment (FDI) (UNCTAD).py,US FDI Inflows (Millions USD),https://unctad.org/topic/investment/statistics,UNCTAD website
code/quarterly/fetch_mortgage_default_rates.py,Mortgage Delinquency Rate (%),,
code/quarterly/Government Budget Balance (OECD).py,US Government Budget Balance (% of GDP),https://api.stlouisfed.org/fred/series/observations,Federal Reserve FRED API
code/quarterly/fetch_loan_to_deposit_ratios.py,Loan-to-Deposit Ratio (%),https://data.imf.org/?sk=51B096FA-2CD2-40DC-AE8A-BF71B1E1A2B3,IMF data portal
code/quarterly/fetch_capital_flows.py,Cross-Border Capital Flows (Billions USD),https://data.imf.org/?sk=7A51304B-6426-40C0-83DD-CA473CA1FD52,IMF data portal
code/quarterly/Gross Domestic Product.py,"US GDP (Nominal, Billions USD)",,
code/quarterly/fetch_labor_productivity.py,Labor Productivity (Index 2012=100),,
code/quarterly/fetch_household_debt_levels.py,Household Debt (% of GDP),,
code/quarterly/data_upload_utils.py,,,
code/quarterly/fetch_stock_buybacks.py,S&P 500 Stock Buybacks (Billions USD),https://ycharts.com/indicators/sp_500_buybacks,YCharts financial data
code/quarterly/fetch_corporate_debt_levels.py,Corporate Debt (% of GDP),,
code/quarterly/GDP Growth Rate.py,US GDP Growth Rate (Annualized %),,
code/event_driven/fetch_terrorism_incidents.py,Terrorism Incident Count,https://www.start.umd.edu/gtd/,www.start.umd.edu
code/event_driven/fetch_tax_policy_changes.py,Tax Policy Reform Count,https://www.oecd.org/tax/tax-policy-reform.htm,OECD statistics
code/event_driven/fetch_tariff_rates.py,Average Tariff Rate (%),https://www.wto.org/english/res_e/statis_e/tariff_profiles_e.htm,www.wto.org
code/event_driven/fetch_infrastructure_spending.py,Infrastructure Spending (Billions USD),https://www.imf.org/en/Publications/FM,International Monetary Fund
code/event_driven/fetch_pandemics_health_crises.py,Health Crisis Outbreak Count,https://www.who.int/emergencies/disease-outbreak-news,World Health Organization
