time,open,high,low,close,Volume
2000-07-31,1.13,1.13,1.13,1.13,NaN
2000-08-31,1.11,1.11,1.11,1.11,NaN
2000-09-30,1.11,1.11,1.11,1.11,NaN
2000-10-31,1.17,1.17,1.17,1.17,NaN
2000-11-30,1.18,1.18,1.18,1.18,NaN
2000-12-31,1.22,1.22,1.22,1.22,NaN
2001-01-31,1.21,1.21,1.21,1.21,NaN
2001-02-28,1.23,1.23,1.23,1.23,NaN
2001-03-31,1.35,1.35,1.35,1.35,NaN
2001-04-30,1.33,1.33,1.33,1.33,NaN
2001-05-31,1.24,1.24,1.24,1.24,NaN
2001-06-30,1.27,1.27,1.27,1.27,NaN
2001-07-31,1.3,1.3,1.3,1.3,NaN
2001-08-31,1.33,1.33,1.33,1.33,NaN
2001-09-30,1.51,1.51,1.51,1.51,NaN
2001-10-31,1.46,1.46,1.46,1.46,NaN
2001-11-30,1.39,1.39,1.39,1.39,NaN
2001-12-31,1.37,1.37,1.37,1.37,NaN
2002-01-31,1.38,1.38,1.38,1.38,NaN
2002-02-28,1.43,1.43,1.43,1.43,NaN
2002-03-31,1.36,1.36,1.36,1.36,NaN
2002-04-30,1.42,1.42,1.42,1.42,NaN
2002-05-31,1.48,1.48,1.48,1.48,NaN
2002-06-30,1.58,1.58,1.58,1.58,NaN
2002-07-31,1.77,1.77,1.77,1.77,NaN
2002-08-31,1.74,1.74,1.74,1.74,NaN
2002-09-30,1.82,1.82,1.82,1.82,NaN
2002-10-31,1.86,1.86,1.86,1.86,NaN
2002-11-30,1.76,1.76,1.76,1.76,NaN
2002-12-31,1.79,1.79,1.79,1.79,NaN
2003-01-31,1.8,1.8,1.8,1.8,NaN
2003-02-28,1.93,1.93,1.93,1.93,NaN
2003-03-31,1.92,1.92,1.92,1.92,NaN
2003-04-30,1.82,1.82,1.82,1.82,NaN
2003-05-31,1.73,1.73,1.73,1.73,NaN
2003-06-30,1.64,1.64,1.64,1.64,NaN
2003-07-31,1.64,1.64,1.64,1.64,NaN
2003-08-31,1.66,1.66,1.66,1.66,NaN
2003-09-30,1.63,1.63,1.63,1.63,NaN
2003-10-31,1.62,1.62,1.62,1.62,NaN
2003-11-30,1.63,1.63,1.63,1.63,NaN
2003-12-31,1.61,1.61,1.61,1.61,NaN
2004-01-31,1.55,1.55,1.55,1.55,NaN
2004-02-29,1.56,1.56,1.56,1.56,NaN
2004-03-31,1.6,1.6,1.6,1.6,NaN
2004-04-30,1.61,1.61,1.61,1.61,NaN
2004-05-31,1.67,1.67,1.67,1.67,NaN
2004-06-30,1.64,1.64,1.64,1.64,NaN
2004-07-31,1.7,1.7,1.7,1.7,NaN
2004-08-31,1.74,1.74,1.74,1.74,NaN
2004-09-30,1.71,1.71,1.71,1.71,NaN
2004-10-31,1.72,1.72,1.72,1.72,NaN
2004-11-30,1.66,1.66,1.66,1.66,NaN
2004-12-31,1.62,1.62,1.62,1.62,NaN
2005-01-31,1.67,1.67,1.67,1.67,NaN
2005-02-28,1.66,1.66,1.66,1.66,NaN
2005-03-31,1.69,1.69,1.69,1.69,NaN
2005-04-30,1.76,1.76,1.76,1.76,NaN
2005-05-31,1.76,1.76,1.76,1.76,NaN
2005-06-30,1.74,1.74,1.74,1.74,NaN
2005-07-31,1.73,1.73,1.73,1.73,NaN
2005-08-31,1.74,1.74,1.74,1.74,NaN
2005-09-30,1.75,1.75,1.75,1.75,NaN
2005-10-31,1.82,1.82,1.82,1.82,NaN
2005-11-30,1.78,1.78,1.78,1.78,NaN
2005-12-31,1.76,1.76,1.76,1.76,NaN
2006-01-31,1.75,1.75,1.75,1.75,NaN
2006-02-28,1.77,1.77,1.77,1.77,NaN
2006-03-31,1.76,1.76,1.76,1.76,NaN
2006-04-30,1.77,1.77,1.77,1.77,NaN
2006-05-31,1.8,1.8,1.8,1.8,NaN
2006-06-30,1.87,1.87,1.87,1.87,NaN
2006-07-31,1.88,1.88,1.88,1.88,NaN
2006-08-31,1.85,1.85,1.85,1.85,NaN
2006-09-30,1.83,1.83,1.83,1.83,NaN
2006-10-31,1.79,1.79,1.79,1.79,NaN
2006-11-30,1.77,1.77,1.77,1.77,NaN
2006-12-31,1.76,1.76,1.76,1.76,NaN
2007-01-31,1.76,1.76,1.76,1.76,NaN
2007-02-28,1.75,1.75,1.75,1.75,NaN
2007-03-31,1.81,1.81,1.81,1.81,NaN
2007-04-30,1.76,1.76,1.76,1.76,NaN
2007-05-31,1.72,1.72,1.72,1.72,NaN
2007-06-30,1.73,1.73,1.73,1.73,NaN
2007-07-31,1.74,1.74,1.74,1.74,NaN
2007-08-31,1.84,1.84,1.84,1.84,NaN
2007-09-30,1.8,1.8,1.8,1.8,NaN
2007-10-31,1.77,1.77,1.77,1.77,NaN
2007-11-30,1.88,1.88,1.88,1.88,NaN
2007-12-31,1.87,1.87,1.87,1.87,NaN
2008-01-31,2.03,2.03,2.03,2.03,NaN
2008-02-29,2.07,2.07,2.07,2.07,NaN
2008-03-31,2.15,2.15,2.15,2.15,NaN
2008-04-30,2.08,2.08,2.08,2.08,NaN
2008-05-31,2.04,2.04,2.04,2.04,NaN
2008-06-30,2.14,2.14,2.14,2.14,NaN
2008-07-31,2.29,2.29,2.29,2.29,NaN
2008-08-31,2.25,2.25,2.25,2.25,NaN
2008-09-30,2.37,2.37,2.37,2.37,NaN
2008-10-31,2.96,2.96,2.96,2.96,NaN
2008-11-30,3.23,3.23,3.23,3.23,NaN
2008-12-31,3.23,3.23,3.23,3.23,NaN
2009-01-31,3.24,3.24,3.24,3.24,NaN
2009-02-28,3.43,3.43,3.43,3.43,NaN
2009-03-31,3.6,3.6,3.6,3.6,NaN
2009-04-30,3.15,3.15,3.15,3.15,NaN
2009-05-31,2.9,2.9,2.9,2.9,NaN
2009-06-30,2.76,2.76,2.76,2.76,NaN
2009-07-31,2.67,2.67,2.67,2.67,NaN
2009-08-31,2.42,2.42,2.42,2.42,NaN
2009-09-30,2.29,2.29,2.29,2.29,NaN
2009-10-31,2.19,2.19,2.19,2.19,NaN
2009-11-30,2.1,2.1,2.1,2.1,NaN
2009-12-31,2.02,2.02,2.02,2.02,NaN
2010-01-31,1.98,1.98,1.98,1.98,NaN
2010-02-28,2.03,2.03,2.03,2.03,NaN
2010-03-31,1.9,1.9,1.9,1.9,NaN
2010-04-30,1.83,1.83,1.83,1.83,NaN
2010-05-31,1.95,1.95,1.95,1.95,NaN
2010-06-30,2.03,2.03,2.03,2.03,NaN
2010-07-31,2.05,2.05,2.05,2.05,NaN
2010-08-31,2.05,2.05,2.05,2.05,NaN
2010-09-30,1.99,1.99,1.99,1.99,NaN
2010-10-31,1.92,1.92,1.92,1.92,NaN
2010-11-30,1.89,1.89,1.89,1.89,NaN
2010-12-31,1.83,1.83,1.83,1.83,NaN
2011-01-31,1.79,1.79,1.79,1.79,NaN
2011-02-28,1.76,1.76,1.76,1.76,NaN
2011-03-31,1.8,1.8,1.8,1.8,NaN
2011-04-30,1.78,1.78,1.78,1.78,NaN
2011-05-31,1.8,1.8,1.8,1.8,NaN
2011-06-30,1.89,1.89,1.89,1.89,NaN
2011-07-31,1.86,1.86,1.86,1.86,NaN
2011-08-31,2.1,2.1,2.1,2.1,NaN
2011-09-30,2.15,2.15,2.15,2.15,NaN
2011-10-31,2.12,2.12,2.12,2.12,NaN
2011-11-30,2.12,2.12,2.12,2.12,NaN
2011-12-31,2.13,2.13,2.13,2.13,NaN
2012-01-31,2.06,2.06,2.06,2.06,NaN
2012-02-29,2,2,2,2,NaN
2012-03-31,1.97,1.97,1.97,1.97,NaN
2012-04-30,2,2,2,2,NaN
2012-05-31,2.09,2.09,2.09,2.09,NaN
2012-06-30,2.14,2.14,2.14,2.14,NaN
2012-07-31,2.11,2.11,2.11,2.11,NaN
2012-08-31,2.08,2.08,2.08,2.08,NaN
2012-09-30,2.05,2.05,2.05,2.05,NaN
2012-10-31,2.1,2.1,2.1,2.1,NaN
2012-11-30,2.2,2.2,2.2,2.2,NaN
2012-12-31,2.2,2.2,2.2,2.2,NaN
2013-01-31,2.13,2.13,2.13,2.13,NaN
2013-02-28,2.1,2.1,2.1,2.1,NaN
2013-03-31,2.07,2.07,2.07,2.07,NaN
2013-04-30,2.07,2.07,2.07,2.07,NaN
2013-05-31,2.01,2.01,2.01,2.01,NaN
2013-06-30,2.06,2.06,2.06,2.06,NaN
2013-07-31,2.02,2.02,2.02,2.02,NaN
2013-08-31,2.04,2.04,2.04,2.04,NaN
2013-09-30,2.04,2.04,2.04,2.04,NaN
2013-10-31,2.01,2.01,2.01,2.01,NaN
2013-11-30,1.95,1.95,1.95,1.95,NaN
2013-12-31,1.94,1.94,1.94,1.94,NaN
2014-01-31,1.94,1.94,1.94,1.94,NaN
2014-02-28,1.97,1.97,1.97,1.97,NaN
2014-03-31,1.94,1.94,1.94,1.94,NaN
2014-04-30,1.96,1.96,1.96,1.96,NaN
2014-05-31,1.96,1.96,1.96,1.96,NaN
2014-06-30,1.92,1.92,1.92,1.92,NaN
2014-07-31,1.91,1.91,1.91,1.91,NaN
2014-08-31,1.94,1.94,1.94,1.94,NaN
2014-09-30,1.93,1.93,1.93,1.93,NaN
2014-10-31,2,2,2,2,NaN
2014-11-30,1.91,1.91,1.91,1.91,NaN
2014-12-31,1.92,1.92,1.92,1.92,NaN
2015-01-31,1.97,1.97,1.97,1.97,NaN
2015-02-28,1.94,1.94,1.94,1.94,NaN
2015-03-31,1.96,1.96,1.96,1.96,NaN
2015-04-30,1.96,1.96,1.96,1.96,NaN
2015-05-31,1.96,1.96,1.96,1.96,NaN
2015-06-30,1.99,1.99,1.99,1.99,NaN
2015-07-31,2.01,2.01,2.01,2.01,NaN
2015-08-31,2.07,2.07,2.07,2.07,NaN
2015-09-30,2.19,2.19,2.19,2.19,NaN
2015-10-31,2.11,2.11,2.11,2.11,NaN
2015-11-30,2.07,2.07,2.07,2.07,NaN
2015-12-31,2.11,2.11,2.11,2.11,NaN
2016-01-31,2.27,2.27,2.27,2.27,NaN
2016-02-29,2.3,2.3,2.3,2.3,NaN
2016-03-31,2.17,2.17,2.17,2.17,NaN
2016-04-30,2.12,2.12,2.12,2.12,NaN
2016-05-31,2.14,2.14,2.14,2.14,NaN
2016-06-30,2.13,2.13,2.13,2.13,NaN
2016-07-31,2.08,2.08,2.08,2.08,NaN
2016-08-31,2.07,2.07,2.07,2.07,NaN
2016-09-30,2.09,2.09,2.09,2.09,NaN
2016-10-31,2.11,2.11,2.11,2.11,NaN
2016-11-30,2.1,2.1,2.1,2.1,NaN
2016-12-31,2.03,2.03,2.03,2.03,NaN
2017-01-31,2.02,2.02,2.02,2.02,NaN
2017-02-28,1.98,1.98,1.98,1.98,NaN
2017-03-31,1.96,1.96,1.96,1.96,NaN
2017-04-30,1.98,1.98,1.98,1.98,NaN
2017-05-31,1.96,1.96,1.96,1.96,NaN
2017-06-30,1.94,1.94,1.94,1.94,NaN
2017-07-31,1.94,1.94,1.94,1.94,NaN
2017-08-31,1.95,1.95,1.95,1.95,NaN
2017-09-30,1.93,1.93,1.93,1.93,NaN
2017-10-31,1.89,1.89,1.89,1.89,NaN
2017-11-30,1.88,1.88,1.88,1.88,NaN
2017-12-31,1.84,1.84,1.84,1.84,NaN
2018-01-31,1.77,1.77,1.77,1.77,NaN
2018-02-28,1.84,1.84,1.84,1.84,NaN
2018-03-31,1.85,1.85,1.85,1.85,NaN
2018-04-30,1.9,1.9,1.9,1.9,NaN
2018-05-31,1.88,1.88,1.88,1.88,NaN
2018-06-30,1.85,1.85,1.85,1.85,NaN
2018-07-31,1.84,1.84,1.84,1.84,NaN
2018-08-31,1.82,1.82,1.82,1.82,NaN
2018-09-30,1.8,1.8,1.8,1.8,NaN
2018-10-31,1.9,1.9,1.9,1.9,NaN
2018-11-30,1.96,1.96,1.96,1.96,NaN
2018-12-31,2.09,2.09,2.09,2.09,NaN
2019-01-31,2.08,2.08,2.08,2.08,NaN
2019-02-28,1.98,1.98,1.98,1.98,NaN
2019-03-31,1.96,1.96,1.96,1.96,NaN
2019-04-30,1.9,1.9,1.9,1.9,NaN
2019-05-31,1.95,1.95,1.95,1.95,NaN
2019-06-30,1.94,1.94,1.94,1.94,NaN
2019-07-31,1.88,1.88,1.88,1.88,NaN
2019-08-31,1.96,1.96,1.96,1.96,NaN
2019-09-30,1.92,1.92,1.92,1.92,NaN
